0 0.027 14.2006 1936.21 9.72754 4.47302 0.0282725 374666 427818 3137.71 668.612 6.96118e+06 46147.1 3.08915e+06 2.50906e-05 8.85285e+13 0 0 552645 1.41879e+06
1 0.0282725 14.1971 1930.92 9.72422 4.47291 0.0296049 410786 895629 6577.3 763.05 6.73492e+06 47487.3 416689 2.54854e-05 8.85063e+13 0 0 552645 1.41879e+06
2 0.0296049 14.1935 1925.09 9.72074 4.47279 0.0310001 450386 1.40702e+06 10347.8 867.951 6.51572e+06 48864.9 442020 2.58882e-05 8.8483e+13 0 0 552645 1.41879e+06
3 0.0310001 14.1898 1919.02 9.7171 4.47267 0.0324611 493802 1.96599e+06 14480.9 984.467 6.30335e+06 50280.9 468869 2.57522e-05 8.84587e+13 0 0 552645 1.41879e+06
4 0.0324611 14.1858 1912.71 9.71328 4.47253 0.033991 541402 2.57687e+06 19011.6 1113.88 6.09761e+06 51736.3 497324 2.57059e-05 8.84332e+13 0 0 552645 1.41879e+06
5 0.033991 14.1817 1906.16 9.70929 4.4724 0.0355929 593587 3.24439e+06 23977.9 1257.61 5.8983e+06 53232.1 527481 2.56618e-05 8.84065e+13 0 0 552645 1.41879e+06
6 0.0355929 14.1774 1899.34 9.70512 4.47225 0.0372704 650800 3.9737e+06 29421.7 1417.23 5.70522e+06 54769.3 559438 2.56202e-05 8.83785e+13 0 0 552645 1.41879e+06
7 0.0372704 14.1729 1892.27 9.70075 4.4721 0.0390269 713525 4.77039e+06 35388.8 1594.49 5.51817e+06 56349 593301 2.65943e-05 8.83493e+13 0 0 552645 1.41879e+06
8 0.0390269 14.1681 1884.92 9.69617 4.47195 0.0408662 782292 5.64055e+06 41929.4 1791.33 5.33698e+06 57972.2 629181 2.65432e-05 8.83187e+13 0 0 552645 1.41879e+06
9 0.0408662 14.1632 1877.28 9.69139 4.47178 0.0427921 857683 6.59079e+06 49098.6 2009.9 5.16147e+06 59640 667195 2.64947e-05 8.82866e+13 0 0 552645 1.41879e+06
10 0.0427921 14.158 1869.37 9.68638 4.47161 0.0448088 940335 7.62832e+06 56956.5 2252.58 4.99145e+06 61353.7 707468 2.64489e-05 8.82531e+13 0 0 552645 1.41879e+06
11 0.0448088 14.1526 1861.15 9.68114 4.47143 0.0469206 1.03095e+06 8.76095e+06 65569.3 2522.03 4.82678e+06 63114.2 750130 2.79416e-05 8.8218e+13 0 0 552645 1.41879e+06
12 0.0469206 14.1469 1852.63 9.67565 4.47124 0.0491319 1.13029e+06 9.99717e+06 75009.2 2821.17 4.66727e+06 64922.8 795321 2.86778e-05 8.81812e+13 0 0 552645 1.41879e+06
13 0.0491319 14.141 1843.8 9.66991 4.47104 0.0514474 1.23919e+06 1.13462e+07 85355.5 3153.26 4.51277e+06 66780.7 843185 2.94353e-05 8.81428e+13 0 0 552645 1.41879e+06
14 0.0514474 14.1347 1834.65 9.66391 4.47084 0.0538721 1.35858e+06 1.2818e+07 96695 3521.91 4.36313e+06 68689.1 893878 3.02149e-05 8.81025e+13 0 0 552645 1.41879e+06
15 0.0538721 14.1282 1825.17 9.65762 4.47062 0.056411 1.48946e+06 1.44235e+07 109123 3931.12 4.21821e+06 70649.3 947562 3.10175e-05 8.80604e+13 0 0 552645 1.41879e+06
16 0.056411 14.1214 1815.35 9.65105 4.47039 0.0590696 1.63294e+06 1.61745e+07 122743 4385.32 4.07785e+06 72662.4 1.00441e+06 3.33552e-05 8.80163e+13 0 0 552645 1.41879e+06
17 0.0590696 14.1143 1805.2 9.64417 4.47015 0.0618534 1.79023e+06 1.80836e+07 137670 4889.43 3.94191e+06 74729.8 1.0646e+06 3.52379e-05 8.79702e+13 0 0 552645 1.41879e+06
