#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin
49 0.257848 0.126591 0 0 0.126591 0.27 1.13194e+07 0 34019.5 4.34361 52.3396 12950.3 0.247126 2.25283 0 0 0 0 0 0 0 0 0 0 10
50 0.27 0.123623 0 0 0.123623 0.282725 1.23622e+07 0 36741.8 4.98197 52.2697 12938.8 0.281137 2.27064 0 0 0 0 0 0 0 0 0 0 10
51 0.282725 0.120612 0 0 0.120612 0.296049 1.34987e+07 0 39653.8 5.71388 52.197 12926.7 0.319698 2.28939 0 0 0 0 0 0 0 0 0 0 10
52 0.296049 0.117562 0 0 0.117562 0.310001 1.4737e+07 0 42765.8 6.55301 52.1211 12914.2 0.363397 2.30913 0 0 0 0 0 0 0 0 0 0 10
53 0.310001 0.114475 0 0 0.114475 0.324611 1.60859e+07 0 46088.3 7.515 52.0421 12901.2 0.412889 2.3299 0 0 0 0 0 0 0 0 0 0 10
54 0.324611 0.111355 0 0 0.111355 0.33991 1.75547e+07 0 49631.8 8.61777 51.9598 12887.6 0.468909 2.35177 0 0 0 0 0 0 0 0 0 0 10
55 0.33991 0.108206 0 0 0.108206 0.355929 1.91537e+07 0 53407 9.88182 51.8741 12873.4 0.532276 2.37481 0 0 0 0 0 0 0 0 0 0 10
56 0.355929 0.105031 0 0 0.105031 0.372704 2.08938e+07 0 57424.7 11.3307 51.7849 12858.6 0.603918 2.39906 0 0 0 0 0 0 0 0 0 0 10
57 0.372704 0.101835 0 0 0.101835 0.390269 2.2787e+07 0 61695.6 12.9912 51.692 12843.2 0.68485 2.42462 0 0 0 0 0 0 0 0 0 0 10
58 0.390269 0.0986203 0 0 0.0986203 0.408662 2.4846e+07 0 66230.4 14.8941 51.5953 12827.2 0.776217 2.45156 0 0 0 0 0 0 0 0 0 0 10
59 0.408662 0.0953929 0 0 0.0953929 0.427921 2.70844e+07 0 71039.6 17.0747 51.4948 12810.5 0.879299 2.47994 0 0 0 0 0 0 0 0 0 0 10
60 0.427921 0.0921569 0 0 0.0921569 0.448088 2.95171e+07 0 76133.3 19.5733 51.3902 12793.2 0.995493 2.5099 0 0 0 0 0 0 0 0 0 0 10
61 0.448088 0.088917 0 0 0.088917 0.469206 3.216e+07 0 81521.7 22.436 51.2814 12775.1 1.12639 2.54148 0 0 0 0 0 0 0 0 0 0 10
62 0.469206 0.085678 0 0 0.085678 0.491319 3.503e+07 0 87214.1 25.7156 51.1684 12756.4 1.27372 2.5748 0 0 0 0 0 0 0 0 0 0 10
63 0.491319 0.0824449 0 0 0.0824449 0.514474 3.81455e+07 0 93219.5 29.4724 51.0509 12736.8 1.4394 2.60998 0 0 0 0 0 0 0 0 0 0 10
64 0.514474 0.0792227 0 0 0.0792227 0.538721 4.1526e+07 0 99546.2 33.7755 50.9288 12716.5 1.62557 2.64712 0 0 0 0 0 0 0 0 0 0 10
65 0.538721 0.0760167 0 0 0.0760167 0.56411 4.51925e+07 0 106202 38.7038 50.8021 12695.4 1.83458 2.68634 0 0 0 0 0 0 0 0 0 0 10
66 0.56411 0.0728319 0 0 0.0728319 0.590696 4.91673e+07 0 113193 44.3475 50.6706 12673.5 2.06902 2.72776 0 0 0 0 0 0 0 0 0 0 10
67 0.590696 0.0696737 0 0 0.0696737 0.618534 5.34744e+07 0 120525 50.81 50.534 12650.7 2.33173 2.77154 0 0 0 0 0 0 0 0 0 0 10
68 0.618534 0.0665472 0 0 0.0665472 0.647685 5.81393e+07 0 128203 58.2092 50.3924 12627.1 2.62582 2.81784 0 0 0 0 0 0 0 0 0 0 10
69 0.647685 0.0634576 0 0 0.0634576 0.678209 6.31892e+07 0 136229 66.6797 50.2456 12602.5 2.95472 2.8668 0 0 0 0 0 0 0 0 0 0 10
70 0.678209 0.0604101 0 0 0.0604101 0.710172 6.86531e+07 0 144606 76.3758 50.0933 12577.1 3.29554 2.94217 0 0 0 0 0 0 0 0 0 0 10
71 0.710172 0.0574098 0 0 0.0574098 0.743642 7.45618e+07 0 153333 87.4733 49.9356 12550.6 3.63842 3.05009 0 0 0 0 0 0 0 0 0 0 10
72 0.743642 0.0544615 0 0 0.0544615 0.778689 8.09479e+07 0 162410 100.173 49.7723 12523.3 4.01076 3.16648 0 0 0 0 0 0 0 0 0 0 10
73 0.778689 0.0515701 0 0 0.0515701 0.815387 8.78461e+07 0 171832 114.705 49.6032 12494.9 4.41431 3.29202 0 0 0 0 0 0 0 0 0 0 10
74 0.815387 0.0487402 0 0 0.0487402 0.853815 9.52931e+07 0 181594 131.331 49.4282 12465.5 4.85051 3.4277 0 0 0 0 0 0 0 0 0 0 10
75 0.853815 0.0459763 0 0 0.0459763 0.894054 1.03328e+08 0 191688 150.351 49.2473 12435 5.32101 3.57441 0 0 0 0 0 0 0 0 0 0 10
76 0.894054 0.0432825 0 0 0.0432825 0.936189 1.11991e+08 0 202106 172.105 49.0602 12403.5 5.8271 3.73329 0 0 0 0 0 0 0 0 0 0 10
77 0.936189 0.0406629 0 0 0.0406629 0.980311 1.21326e+08 0 212835 196.984 48.8669 12370.9 6.37011 3.90556 0 0 0 0 0 0 0 0 0 0 10
78 0.980311 0.0381209 0 0 0.0381209 1.02651 1.31378e+08 0 223861 225.432 48.6673 12337.2 6.95117 4.09255 0 0 0 0 0 0 0 0 0 0 10
79 1.02651 0.0356601 0 0 0.0356601 1.07489 1.42195e+08 0 235167 257.956 48.4612 12302.4 7.57112 4.29585 0 0 0 0 0 0 0 0 0 0 10
80 1.07489 0.0332835 0 0 0.0332835 1.12555 1.53827e+08 0 246734 295.136 48.2487 12266.4 8.23071 4.51714 0 0 0 0 0 0 0 0 0 0 10
81 1.12555 0.0309937 0 0 0.0309937 1.17859 1.66327e+08 0 258541 337.629 48.0295 12229.2 8.9302 4.75842 0 0 0 0 0 0 0 0 0 0 10
82 1.17859 0.0287931 0 0 0.0287931 1.23414 1.79749e+08 0 270565 386.189 47.8037 12190.8 9.66992 5.02173 0 0 0 0 0 0 0 0 0 0 10
83 1.23414 0.0266835 0 0 0.0266835 1.2923 1.94151e+08 0 282778 441.672 47.5711 12151.3 10.4497 5.30951 0 0 0 0 0 0 0 0 0 0 10
84 1.2923 0.0246666 0 0 0.0246666 1.35321 2.09592e+08 0 295152 505.054 47.3317 12110.5 11.2688 5.62456 0 0 0 0 0 0 0 0 0 0 10
85 1.35321 0.0227434 0 0 0.0227434 1.41698 2.26134e+08 0 307658 577.448 47.0855 12068.4 12.1263 5.96998 0 0 0 0 0 0 0 0 0 0 10
86 1.41698 0.0209147 0 0 0.0209147 1.48376 2.43841e+08 0 320263 660.121 46.8324 12025.1 13.0208 6.34929 0 0 0 0 0 0 0 0 0 0 10
87 1.48376 0.0191808 0 0 0.0191808 1.55369 2.6278e+08 0 332932 754.515 46.5724 11980.6 13.9506 6.76629 0 0 0 0 0 0 0 0 0 0 10
88 1.55369 0.0175415 0 0 0.0175415 1.62691 2.83019e+08 0 345630 862.272 46.3054 11934.8 14.9132 7.22562 0 0 0 0 0 0 0 0 0 0 10
89 1.62691 0.0159964 0 0 0.0159964 1.70358 3.0463e+08 0 358321 985.262 46.0316 11887.7 15.9059 7.73239 0 0 0 0 0 0 0 0 0 0 10
90 1.70358 0.0145446 0 0 0.0145446 1.78387 3.27683e+08 0 370966 1125.61 45.7508 11839.3 16.9256 8.2922 0 0 0 0 0 0 0 0 0 0 10
91 1.78387 0.0131846 0 0 0.0131846 1.86794 3.52254e+08 0 383528 1285.74 45.4632 11789.6 17.9681 8.91195 0 0 0 0 0 0 0 0 0 0 10
92 1.86794 0.0119149 0 0 0.0119149 1.95598 3.7842e+08 0 395968 1468.41 45.1688 11738.6 19.0299 9.59879 0 0 0 0 0 0 0 0 0 0 10
93 1.95598 0.0107333 0 0 0.0107333 2.04816 4.06257e+08 0 408247 1676.74 44.8676 11686.4 20.106 10.3615 0 0 0 0 0 0 0 0 0 0 10
94 2.04816 0.00963755 0 0 0.00963755 2.14469 4.35844e+08 0 420328 1914.29 44.5597 11632.9 21.1915 11.2098 0 0 0 0 0 0 0 0 0 0 10
95 2.14469 0.00862488 0 0 0.00862488 2.24576 4.67262e+08 0 432174 2185.11 44.2451 11578.1 22.2808 12.1549 0 0 0 0 0 0 0 0 0 0 10
96 2.24576 0.00769235 0 0 0.00769235 2.3516 5.00591e+08 0 443750 2493.8 43.9241 11522 23.3688 13.2094 0 0 0 0 0 0 0 0 0 0 10
97 2.3516 0.00683673 0 0 0.00683673 2.46243 5.35913e+08 0 455021 2845.57 43.5968 11464.7 24.4491 14.3882 0 0 0 0 0 0 0 0 0 0 10
98 2.46243 0.0060546 0 0 0.0060546 2.57848 5.73311e+08 0 465957 3246.38 43.2631 11406.1 25.5152 15.7085 0 0 0 0 0 0 0 0 0 0 10
99 2.57848 0.00534238 0 0 0.00534238 2.7 6.12865e+08 0 476527 3702.95 42.9234 11346.3 26.5619 17.189 0 0 0 0 0 0 0 0 0 0 10
100 2.7 0.0046963 0 0 0.0046963 2.82725 6.54659e+08 0 486705 4222.95 42.5778 11285.3 27.582 18.8527 0 0 0 0 0 0 0 0 0 0 10
101 2.82725 0.00411256 0 0 0.00411256 2.96049 6.98773e+08 0 496468 4815.05 42.2265 11223.2 28.5698 20.725 0 0 0 0 0 0 0 0 0 0 10
102 2.96049 0.00358723 0 0 0.00358723 3.10001 7.45289e+08 0 505795 5489.14 41.8696 11159.9 28.541 23.6181 0 0 0 0 0 0 0 0 0 0 10
103 3.10001 0.00311642 0 0 0.00311642 3.24611 7.94286e+08 0 514670 6256.4 41.5075 11095.4 28.3702 27.0446 0 0 0 0 0 0 0 0 0 0 10
104 3.24611 0.00269622 0 0 0.00269622 3.3991 8.45843e+08 0 523078 7129.54 41.1403 11029.9 28.1072 31.0646 0 0 0 0 0 0 0 0 0 0 10
105 3.3991 0.00232277 0 0 0.00232277 3.55929 9.00036e+08 0 531011 8122.96 40.7682 10963.3 27.7554 35.7923 0 0 0 0 0 0 0 0 0 0 10
106 3.55929 0.0019923 0 0 0.0019923 3.72704 9.56941e+08 0 538461 9253.04 40.3916 10895.6 27.319 41.3658 0 0 0 0 0 0 0 0 0 0 10
107 3.72704 0.00170114 0 0 0.00170114 3.90269 1.01663e+09 0 545426 10538.3 40.0107 10827 26.8031 47.952 0 0 0 0 0 0 0 0 0 0 10
108 3.90269 0.00144577 0 0 0.00144577 4.08662 1.07917e+09 0 551907 11999.8 39.6258 10757.5 26.2128 55.7545 0 0 0 0 0 0 0 0 0 0 10
109 4.08662 0.00122282 0 0 0.00122282 4.27921 1.14463e+09 0 557908 13661.3 39.2372 10687 25.5558 65.0165 0 0 0 0 0 0 0 0 0 0 10
110 4.27921 0.00102907 0 0 0.00102907 4.48088 1.21308e+09 0 563437 15550 38.8452 10615.7 24.8392 76.0352 0 0 0 0 0 0 0 0 0 0 10
111 4.48088 0.000861516 0 0 0.000861516 4.69206 1.28457e+09 0 568504 17696.4 38.4501 10543.6 24.0688 89.1779 0 0 0 0 0 0 0 0 0 0 10
112 4.69206 0.000717332 0 0 0.000717332 4.91319 1.35917e+09 0 573121 20135.3 38.0522 10470.8 23.2543 104.88 0 0 0 0 0 0 0 0 0 0 10
113 4.91319 0.000593896 0 0 0.000593896 5.14474 1.43691e+09 0 577305 22906.1 37.652 10397.2 22.4023 123.683 0 0 0 0 0 0 0 0 0 0 10
114 5.14474 0.000488784 0 0 0.000488784 5.38721 1.51787e+09 0 581074 26053.4 37.2496 10323 21.5214 146.24 0 0 0 0 0 0 0 0 0 0 10
115 5.38721 0.000399773 0 0 0.000399773 5.6411 1.60206e+09 0 584447 29627.8 36.8455 10248.2 20.6188 173.355 0 0 0 0 0 0 0 0 0 0 10
116 5.6411 0.000324835 0 0 0.000324835 5.90696 1.68955e+09 0 587446 33686.5 36.44 10172.9 19.7017 206.011 0 0 0 0 0 0 0 0 0 0 10
117 5.90696 0.00026213 0 0 0.00026213 6.18534 1.78035e+09 0 590094 38294.6 36.0335 10097.1 18.7782 245.396 0 0 0 0 0 0 0 0 0 0 10
118 6.18534 0.000209997 0 0 0.000209997 6.47685 1.87451e+09 0 592416 43525.6 35.6262 10020.9 17.8544 292.982 0 0 0 0 0 0 0 0 0 0 10
119 6.47685 0.000166949 0 0 0.000166949 6.78209 1.97205e+09 0 594434 49462.9 35.2186 9944.29 19.2466 308.485 0 0 0 0 0 0 0 0 0 0 10
120 6.78209 0.000131656 0 0 0.000131656 7.10172 2.07298e+09 0 596176 56200.9 34.8111 9867.42 21.7578 309.684 0 0 0 0 0 0 0 0 0 0 10
121 7.10172 0.000102943 0 0 0.000102943 7.43642 2.17733e+09 0 597666 63846.7 34.4038 9790.31 24.5923 310.901 0 0 0 0 0 0 0 0 0 0 10
122 7.43642 7.97709e-05 0 0 7.97709e-05 7.78689 2.2851e+09 0 598929 72521.5 33.9972 9713.03 27.7918 312.135 0 0 0 0 0 0 0 0 0 0 10
123 7.78689 6.12305e-05 0 0 6.12305e-05 8.15387 2.39631e+09 0 599989 82362.7 33.5917 9635.64 31.4027 313.386 0 0 0 0 0 0 0 0 0 0 10
124 8.15387 4.6531e-05 0 0 4.6531e-05 8.53815 2.51094e+09 0 600870 93525.9 33.1875 9558.19 35.4779 314.654 0 0 0 0 0 0 0 0 0 0 10
125 8.53815 3.49891e-05 0 0 3.49891e-05 8.94054 2.629e+09 0 601594 106188 32.785 9480.75 40.0767 315.936 0 0 0 0 0 0 0 0 0 0 10
126 8.94054 2.6019e-05 0 0 2.6019e-05 9.36189 2.75048e+09 0 602183 120548 32.3845 9403.38 45.2662 317.233 0 0 0 0 0 0 0 0 0 0 10
127 9.36189 1.91233e-05 0 0 1.91233e-05 9.80311 2.87537e+09 0 602656 136832 31.9863 9326.14 51.1223 318.544 0 0 0 0 0 0 0 0 0 0 10
128 9.80311 1.38829e-05 0 0 1.38829e-05 10.2651 3.00364e+09 0 603032 155298 31.5907 9249.08 57.7303 319.868 0 0 0 0 0 0 0 0 0 0 10
129 10.2651 9.94864e-06 0 0 9.94864e-06 10.7489 3.13528e+09 0 603326 176237 31.198 9172.27 65.1868 321.205 0 0 0 0 0 0 0 0 0 0 10
130 10.7489 7.03279e-06 0 0 7.03279e-06 11.2555 3.27025e+09 0 603553 199977 30.8084 9095.75 73.601 322.553 0 0 0 0 0 0 0 0 0 0 10
131 11.2555 4.90085e-06 0 0 4.90085e-06 11.7859 3.40854e+09 0 603726 226893 30.4223 9019.59 83.0961 323.912 0 0 0 0 0 0 0 0 0 0 10
132 11.7859 3.36421e-06 0 0 3.36421e-06 12.3414 3.5501e+09 0 603856 257408 30.0398 8943.84 93.8112 325.281 0 0 0 0 0 0 0 0 0 0 10
133 12.3414 2.2732e-06 0 0 2.2732e-06 12.923 3.69489e+09 0 603952 292002 29.6613 8868.55 105.904 326.659 0 0 0 0 0 0 0 0 0 0 10
134 12.923 1.51078e-06 0 0 1.51078e-06 13.5321 3.84289e+09 0 604022 331220 29.2869 8793.76 119.552 328.045 0 0 0 0 0 0 0 0 0 0 10
135 13.5321 9.86772e-07 0 0 9.86772e-07 14.1698 3.99403e+09 0 604071 375680 28.9169 8719.53 134.956 329.438 0 0 0 0 0 0 0 0 0 0 10
136 14.1698 6.32882e-07 0 0 6.32882e-07 14.8376 4.14828e+09 0 604106 426082 28.5514 8645.91 152.345 330.838 0 0 0 0 0 0 0 0 0 0 10
137 14.8376 3.98233e-07 0 0 3.98233e-07 15.5369 4.30558e+09 0 604130 483219 28.1907 8572.93 171.975 332.243 0 0 0 0 0 0 0 0 0 0 10
138 15.5369 2.45619e-07 0 0 2.45619e-07 16.2691 4.46589e+09 0 604146 547994 27.8349 8500.65 194.138 333.653 0 0 0 0 0 0 0 0 0 0 10
139 16.2691 1.48348e-07 0 0 1.48348e-07 17.0358 4.62915e+09 0 604157 621428 27.4842 8429.09 219.163 335.066 0 0 0 0 0 0 0 0 0 0 10
140 17.0358 8.76522e-08 0 0 8.76522e-08 17.8387 4.7953e+09 0 604163 704682 27.1387 8358.3 247.425 336.482 0 0 0 0 0 0 0 0 0 0 10
141 17.8387 5.06122e-08 0 0 5.06122e-08 18.6794 4.96429e+09 0 604168 799072 26.7985 8288.32 279.344 337.899 0 0 0 0 0 0 0 0 0 0 10
142 18.6794 2.85289e-08 0 0 2.85289e-08 19.5598 5.13605e+09 0 604170 906093 26.4639 8219.17 315.401 339.318 0 0 0 0 0 0 0 0 0 0 10
143 19.5598 1.56805e-08 0 0 1.56805e-08 20.4816 5.31053e+09 0 604172 1.02744e+06 26.1348 8150.89 356.137 340.736 0 0 0 0 0 0 0 0 0 0 10
144 20.4816 8.39383e-09 0 0 8.39383e-09 21.4469 5.48767e+09 0 604173 1.16504e+06 25.8114 8083.51 402.167 342.153 0 0 0 0 0 0 0 0 0 0 10
145 21.4469 4.37069e-09 0 0 4.37069e-09 22.4576 5.66739e+09 0 604173 1.32109e+06 25.4938 8017.06 454.189 343.568 0 0 0 0 0 0 0 0 0 0 10
146 22.4576 2.21088e-09 0 0 2.21088e-09 23.516 5.84964e+09 0 604174 1.49806e+06 25.182 7951.55 512.992 344.98 0 0 0 0 0 0 0 0 0 0 10
147 23.516 1.08496e-09 0 0 1.08496e-09 24.6243 6.03436e+09 0 604174 1.69878e+06 24.876 7887.02 579.472 346.389 0 0 0 0 0 0 0 0 0 0 10
148 24.6243 5.158e-10 0 0 5.158e-10 25.7848 6.22148e+09 0 604174 1.92647e+06 24.576 7823.48 654.647 347.793 0 0 0 0 0 0 0 0 0 0 10
149 25.7848 2.37203e-10 0 0 2.37203e-10 27 6.41093e+09 0 604174 2.18475e+06 24.282 7760.96 739.669 349.191 0 0 0 0 0 0 0 0 0 0 10
150 27 1.05356e-10 0 0 1.05356e-10 28.2725 6.60266e+09 0 604174 2.47778e+06 23.994 7699.46 835.848 350.583 0 0 0 0 0 0 0 0 0 0 10
151 28.2725 4.51216e-11 0 0 4.51216e-11 29.6049 6.7966e+09 0 604174 2.81028e+06 23.7119 7639.01 944.671 351.967 0 0 0 0 0 0 0 0 0 0 10
152 29.6049 1.86022e-11 0 0 1.86022e-11 31.0001 6.99268e+09 0 604174 3.18759e+06 23.4359 7579.61 1067.83 353.343 0 0 0 0 0 0 0 0 0 0 10
153 31.0001 7.36922e-12 0 0 7.36922e-12 32.4611 7.19084e+09 0 604174 3.6158e+06 23.1659 7521.28 1207.23 354.711 0 0 0 0 0 0 0 0 0 0 10
154 32.4611 2.79993e-12 0 0 2.79993e-12 33.991 7.39103e+09 0 604174 4.10186e+06 22.9018 7464.02 1365.06 356.069 0 0 0 0 0 0 0 0 0 0 10
