#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
32 0.117859 0.343301 0 0 0.343301 0.123414 2.47775e+06 0 16837 0.612175 77.4947 14019.3 0.0927119 0.849086 0 0 0 0 0 0 0 0 0 0 10 3.88942
33 0.123414 0.339273 0 0 0.339273 0.12923 2.7117e+06 0 18399.3 0.702496 77.4409 14012.8 0.105938 0.852575 0 0 0 0 0 0 0 0 0 0 10 4.07272
34 0.12923 0.335123 0 0 0.335123 0.135321 2.96749e+06 0 20091.3 0.806122 77.3847 14006 0.121026 0.856231 0 0 0 0 0 0 0 0 0 0 10 4.26466
35 0.135321 0.330849 0 0 0.330849 0.141698 3.24712e+06 0 21922.8 0.925011 77.326 13998.9 0.13823 0.860077 0 0 0 0 0 0 0 0 0 0 10 4.46565
36 0.141698 0.326451 0 0 0.326451 0.148376 3.55276e+06 0 23904.2 1.06141 77.2646 13991.5 0.157842 0.864118 0 0 0 0 0 0 0 0 0 0 10 4.67611
37 0.148376 0.321928 0 0 0.321928 0.155369 3.88679e+06 0 26046.7 1.21788 77.2005 13983.8 0.180191 0.868364 0 0 0 0 0 0 0 0 0 0 10 4.89649
38 0.155369 0.31728 0 0 0.31728 0.162691 4.25179e+06 0 28361.9 1.39737 77.1336 13975.7 0.205652 0.872821 0 0 0 0 0 0 0 0 0 0 10 5.12725
39 0.162691 0.312507 0 0 0.312507 0.170358 4.65057e+06 0 30862.2 1.60328 77.0637 13967.3 0.234648 0.877502 0 0 0 0 0 0 0 0 0 0 10 5.36889
40 0.170358 0.307609 0 0 0.307609 0.178387 5.08619e+06 0 33560.7 1.83946 76.9907 13958.4 0.267657 0.882421 0 0 0 0 0 0 0 0 0 0 10 5.62192
41 0.178387 0.302588 0 0 0.302588 0.186794 5.56197e+06 0 36471.2 2.11037 76.9146 13949.2 0.305216 0.887599 0 0 0 0 0 0 0 0 0 0 10 5.88688
42 0.186794 0.297444 0 0 0.297444 0.195598 6.08152e+06 0 39608.1 2.4211 76.835 13939.6 0.347941 0.893036 0 0 0 0 0 0 0 0 0 0 10 6.16432
43 0.195598 0.292178 0 0 0.292178 0.204816 6.64876e+06 0 42986.6 2.77747 76.752 13929.6 0.396522 0.898749 0 0 0 0 0 0 0 0 0 0 10 6.45483
44 0.204816 0.286793 0 0 0.286793 0.214469 7.26795e+06 0 46622.7 3.18618 76.6654 13919.1 0.451731 0.904764 0 0 0 0 0 0 0 0 0 0 10 6.75904
45 0.214469 0.281291 0 0 0.281291 0.224576 7.94371e+06 0 50533 3.65489 76.5751 13908.1 0.514453 0.911082 0 0 0 0 0 0 0 0 0 0 10 7.07758
46 0.224576 0.275675 0 0 0.275675 0.23516 8.68106e+06 0 54734.7 4.19238 76.4808 13896.7 0.58567 0.91773 0 0 0 0 0 0 0 0 0 0 10 7.41114
47 0.23516 0.269947 0 0 0.269947 0.246243 9.48544e+06 0 59245.9 4.8087 76.3824 13884.8 0.666492 0.924728 0 0 0 0 0 0 0 0 0 0 10 7.76041
48 0.246243 0.264112 0 0 0.264112 0.257848 1.03627e+07 0 64085.2 5.51538 76.2799 13872.4 0.758171 0.932092 0 0 0 0 0 0 0 0 0 0 10 8.12615
49 0.257848 0.258173 0 0 0.258173 0.27 1.13194e+07 0 69271.9 6.32563 76.173 13859.4 0.862115 0.939834 0 0 0 0 0 0 0 0 0 0 10 8.50912
50 0.27 0.252135 0 0 0.252135 0.282725 1.23622e+07 0 74825.6 7.25455 76.0615 13845.9 0.979886 0.947993 0 0 0 0 0 0 0 0 0 0 10 8.91015
51 0.282725 0.246003 0 0 0.246003 0.296049 1.34987e+07 0 80766.8 8.31947 75.9453 13831.8 1.11324 0.956592 0 0 0 0 0 0 0 0 0 0 10 9.33007
52 0.296049 0.239782 0 0 0.239782 0.310001 1.4737e+07 0 87116.1 9.54022 75.8243 13817.1 1.26418 0.965638 0 0 0 0 0 0 0 0 0 0 10 9.76978
53 0.310001 0.23348 0 0 0.23348 0.324611 1.60859e+07 0 93894.6 10.9395 75.6982 13801.8 1.43489 0.975177 0 0 0 0 0 0 0 0 0 0 10 10.2302
54 0.324611 0.227101 0 0 0.227101 0.33991 1.75547e+07 0 101124 12.5433 75.5668 13785.8 1.62783 0.985228 0 0 0 0 0 0 0 0 0 0 10 10.7124
55 0.33991 0.220654 0 0 0.220654 0.355929 1.91537e+07 0 108824 14.3813 75.43 13769.1 1.84577 0.995823 0 0 0 0 0 0 0 0 0 0 10 11.2172
56 0.355929 0.214145 0 0 0.214145 0.372704 2.08938e+07 0 117019 16.4877 75.2875 13751.8 2.09176 1.007 0 0 0 0 0 0 0 0 0 0 10 11.7459
57 0.372704 0.207583 0 0 0.207583 0.390269 2.2787e+07 0 125728 18.9014 75.1393 13733.7 2.36922 1.01877 0 0 0 0 0 0 0 0 0 0 10 12.2994
58 0.390269 0.200977 0 0 0.200977 0.408662 2.4846e+07 0 134972 21.667 74.985 13714.9 2.6819 1.03121 0 0 0 0 0 0 0 0 0 0 10 12.8791
59 0.408662 0.194334 0 0 0.194334 0.427921 2.70844e+07 0 144773 24.8356 74.8245 13695.4 3.03403 1.04434 0 0 0 0 0 0 0 0 0 0 10 13.4861
60 0.427921 0.187666 0 0 0.187666 0.448088 2.95171e+07 0 155149 28.4654 74.6576 13675 3.43024 1.05819 0 0 0 0 0 0 0 0 0 0 10 14.1216
61 0.448088 0.180981 0 0 0.180981 0.469206 3.216e+07 0 166121 32.6234 74.4841 13653.8 3.87569 1.07283 0 0 0 0 0 0 0 0 0 0 10 14.7872
62 0.469206 0.174289 0 0 0.174289 0.491319 3.503e+07 0 177705 37.3858 74.3038 13631.7 4.37602 1.08829 0 0 0 0 0 0 0 0 0 0 10 15.4841
63 0.491319 0.167602 0 0 0.167602 0.514474 3.81455e+07 0 189918 42.84 74.1163 13608.8 4.93753 1.10464 0 0 0 0 0 0 0 0 0 0 10 16.2138
64 0.514474 0.160929 0 0 0.160929 0.538721 4.1526e+07 0 202775 49.0857 73.9217 13585 5.56706 1.12192 0 0 0 0 0 0 0 0 0 0 10 16.9779
65 0.538721 0.154283 0 0 0.154283 0.56411 4.51925e+07 0 216288 56.2373 73.7195 13560.2 6.27215 1.1402 0 0 0 0 0 0 0 0 0 0 10 17.7781
66 0.56411 0.147674 0 0 0.147674 0.590696 4.91673e+07 0 230469 64.4249 73.5097 13534.5 7.06104 1.15955 0 0 0 0 0 0 0 0 0 0 10 18.6159
67 0.590696 0.141113 0 0 0.141113 0.618534 5.34744e+07 0 245326 73.7978 73.292 13507.7 7.94287 1.18003 0 0 0 0 0 0 0 0 0 0 10 19.4933
68 0.618534 0.134613 0 0 0.134613 0.647685 5.81393e+07 0 260863 84.5261 73.0662 13480 8.92748 1.20172 0 0 0 0 0 0 0 0 0 0 10 20.412
69 0.647685 0.128185 0 0 0.128185 0.678209 6.31892e+07 0 277083 96.8044 72.832 13451.1 10.0255 1.22471 0 0 0 0 0 0 0 0 0 0 10 21.374
70 0.678209 0.12184 0 0 0.12184 0.710172 6.86531e+07 0 293986 110.855 72.5893 13421.2 11.2486 1.24908 0 0 0 0 0 0 0 0 0 0 10 22.3813
71 0.710172 0.11559 0 0 0.11559 0.743642 7.45618e+07 0 311566 126.931 72.3379 13390.2 12.6094 1.27493 0 0 0 0 0 0 0 0 0 0 10 23.4361
72 0.743642 0.109446 0 0 0.109446 0.778689 8.09479e+07 0 329814 145.322 72.0775 13358.1 14.1217 1.30235 0 0 0 0 0 0 0 0 0 0 10 24.5406
73 0.778689 0.103419 0 0 0.103419 0.815387 8.78461e+07 0 348717 166.36 71.808 13324.8 15.7999 1.33148 0 0 0 0 0 0 0 0 0 0 10 25.6971
74 0.815387 0.0975199 0 0 0.0975199 0.853815 9.52931e+07 0 368259 190.42 71.5292 13290.3 17.6601 1.3624 0 0 0 0 0 0 0 0 0 0 10 26.9082
75 0.853815 0.0917595 0 0 0.0917595 0.894054 1.03328e+08 0 388416 217.933 71.2408 13254.5 19.7189 1.39528 0 0 0 0 0 0 0 0 0 0 10 28.1764
76 0.894054 0.0861473 0 0 0.0861473 0.936189 1.11991e+08 0 409161 249.391 70.9428 13217.5 21.9943 1.43025 0 0 0 0 0 0 0 0 0 0 10 29.5043
77 0.936189 0.0806929 0 0 0.0806929 0.980311 1.21326e+08 0 430462 285.352 70.6348 13179.2 24.5059 1.46745 0 0 0 0 0 0 0 0 0 0 10 30.8948
78 0.980311 0.075405 0 0 0.075405 1.02651 1.31378e+08 0 452283 326.455 70.3169 13139.7 27.2739 1.50705 0 0 0 0 0 0 0 0 0 0 10 32.3508
79 1.02651 0.0702917 0 0 0.0702917 1.07489 1.42195e+08 0 474580 373.427 69.9887 13098.7 30.3198 1.54924 0 0 0 0 0 0 0 0 0 0 10 33.8754
80 1.07489 0.0653605 0 0 0.0653605 1.12555 1.53827e+08 0 497307 427.098 69.6502 13056.5 33.6659 1.59422 0 0 0 0 0 0 0 0 0 0 10 35.4719
81 1.12555 0.0606179 0 0 0.0606179 1.17859 1.66327e+08 0 520411 488.412 69.3013 13012.8 37.3364 1.6422 0 0 0 0 0 0 0 0 0 0 10 37.1437
82 1.17859 0.0560695 0 0 0.0560695 1.23414 1.79749e+08 0 543836 558.444 68.9418 12967.8 41.3561 1.6934 0 0 0 0 0 0 0 0 0 0 10 38.8942
83 1.23414 0.0517203 0 0 0.0517203 1.2923 1.94151e+08 0 567520 638.42 68.5716 12921.3 45.7508 1.74808 0 0 0 0 0 0 0 0 0 0 10 40.7272
84 1.2923 0.0475739 0 0 0.0475739 1.35321 2.09592e+08 0 591399 729.735 68.1907 12873.4 50.5477 1.80651 0 0 0 0 0 0 0 0 0 0 10 42.6466
85 1.35321 0.0436333 0 0 0.0436333 1.41698 2.26134e+08 0 615402 833.976 67.799 12824.1 55.7737 1.869 0 0 0 0 0 0 0 0 0 0 10 44.6565
86 1.41698 0.0399001 0 0 0.0399001 1.48376 2.43841e+08 0 639459 952.95 67.3963 12773.3 61.4569 1.93589 0 0 0 0 0 0 0 0 0 0 10 46.7611
87 1.48376 0.036375 0 0 0.036375 1.55369 2.6278e+08 0 663496 1088.71 66.9828 12721 67.627 2.00751 0 0 0 0 0 0 0 0 0 0 10 48.9649
88 1.55369 0.0330579 0 0 0.0330579 1.62691 2.83019e+08 0 687436 1243.6 66.5583 12667.2 74.3125 2.08428 0 0 0 0 0 0 0 0 0 0 10 51.2725
89 1.62691 0.0299471 0 0 0.0299471 1.70358 3.0463e+08 0 711203 1420.27 66.123 12611.9 81.543 2.16661 0 0 0 0 0 0 0 0 0 0 10 53.6889
90 1.70358 0.0270404 0 0 0.0270404 1.78387 3.27683e+08 0 734720 1621.75 65.6767 12555.1 87.358 2.30635 0 0 0 0 0 0 0 0 0 0 10 56.2192
91 1.78387 0.0243343 0 0 0.0243343 1.86794 3.52254e+08 0 757911 1851.47 65.2197 12496.7 91.9634 2.49792 0 0 0 0 0 0 0 0 0 0 10 58.8688
92 1.86794 0.0218243 0 0 0.0218243 1.95598 3.7842e+08 0 780702 2113.33 64.7519 12436.9 96.5525 2.71209 0 0 0 0 0 0 0 0 0 0 10 61.6432
93 1.95598 0.0195052 0 0 0.0195052 2.04816 4.06257e+08 0 803019 2411.76 64.2735 12375.6 101.097 2.95194 0 0 0 0 0 0 0 0 0 0 10 64.5483
94 2.04816 0.0173709 0 0 0.0173709 2.14469 4.35844e+08 0 824796 2751.8 63.7845 12312.7 105.566 3.22113 0 0 0 0 0 0 0 0 0 0 10 67.5904
95 2.14469 0.0154145 0 0 0.0154145 2.24576 4.67262e+08 0 845967 3139.16 63.2852 12248.4 109.93 3.52373 0 0 0 0 0 0 0 0 0 0 10 70.7758
96 2.24576 0.0136284 0 0 0.0136284 2.3516 5.00591e+08 0 866473 3580.33 62.7757 12182.6 114.154 3.8647 0 0 0 0 0 0 0 0 0 0 10 74.1114
97 2.3516 0.0120046 0 0 0.0120046 2.46243 5.35913e+08 0 886260 4082.68 62.2563 12115.3 118.206 4.24969 0 0 0 0 0 0 0 0 0 0 10 77.6041
98 2.46243 0.0105344 0 0 0.0105344 2.57848 5.73311e+08 0 905279 4654.54 61.7271 12046.5 122.059 4.68511 0 0 0 0 0 0 0 0 0 0 10 81.2615
99 2.57848 0.00920891 0 0 0.00920891 2.7 6.12865e+08 0 923489 5305.39 61.1884 11976.3 125.68 5.17866 0 0 0 0 0 0 0 0 0 0 10 85.0912
100 2.7 0.00801904 0 0 0.00801904 2.82725 6.54659e+08 0 940857 6045.98 60.6405 11904.7 129.038 5.73931 0 0 0 0 0 0 0 0 0 0 10 89.1015
101 2.82725 0.00695548 0 0 0.00695548 2.96049 6.98773e+08 0 957355 6888.49 60.0837 11831.7 132.109 6.37733 0 0 0 0 0 0 0 0 0 0 10 93.3007
102 2.96049 0.00600893 0 0 0.00600893 3.10001 7.45289e+08 0 972962 7846.71 59.5183 11757.4 134.867 7.10494 0 0 0 0 0 0 0 0 0 0 10 97.6978
103 3.10001 0.00517017 0 0 0.00517017 3.24611 7.94286e+08 0 987666 8936.29 58.9447 11681.7 137.29 7.93633 0 0 0 0 0 0 0 0 0 0 10 102.302
104 3.24611 0.00443015 0 0 0.00443015 3.3991 8.45843e+08 0 1.00146e+06 10175 58.3633 11604.8 139.361 8.88818 0 0 0 0 0 0 0 0 0 0 10 107.124
105 3.3991 0.0037801 0 0 0.0037801 3.55929 9.00036e+08 0 1.01435e+06 11582.8 57.7744 11526.6 141.064 9.98012 0 0 0 0 0 0 0 0 0 0 10 112.172
106 3.55929 0.00321158 0 0 0.00321158 3.72704 9.56941e+08 0 1.02633e+06 13182.5 57.1785 11447.2 142.384 11.2353 0 0 0 0 0 0 0 0 0 0 10 117.459
107 3.72704 0.00271655 0 0 0.00271655 3.90269 1.01663e+09 0 1.03743e+06 14999.9 56.5761 11366.7 143.318 12.6809 0 0 0 0 0 0 0 0 0 0 10 122.994
108 3.90269 0.00228741 0 0 0.00228741 4.08662 1.07917e+09 0 1.04766e+06 17064.1 55.9676 11285 143.857 14.349 0 0 0 0 0 0 0 0 0 0 10 128.791
109 4.08662 0.00191704 0 0 0.00191704 4.27921 1.14463e+09 0 1.05704e+06 19408.1 55.3534 11202.3 142.579 16.4401 0 0 0 0 0 0 0 0 0 0 10 134.861
110 4.27921 0.00159885 0 0 0.00159885 4.48088 1.21308e+09 0 1.0656e+06 22069.3 54.7341 11118.6 135.821 19.5933 0 0 0 0 0 0 0 0 0 0 10 141.216
111 4.48088 0.00132673 0 0 0.00132673 4.69206 1.28457e+09 0 1.07337e+06 25089.9 54.1102 11033.9 128.931 23.428 0 0 0 0 0 0 0 0 0 0 10 147.872
112 4.69206 0.00109511 0 0 0.00109511 4.91319 1.35917e+09 0 1.08039e+06 28517.8 53.4822 10948.4 121.965 28.1055 0 0 0 0 0 0 0 0 0 0 10 154.841
113 4.91319 0.000898919 0 0 0.000898919 5.14474 1.43691e+09 0 1.0867e+06 32407 52.8507 10862 114.98 33.8255 0 0 0 0 0 0 0 0 0 0 10 162.138
114 5.14474 0.000733581 0 0 0.000733581 5.38721 1.51787e+09 0 1.09233e+06 36818.9 52.2162 10774.9 108.038 40.8361 0 0 0 0 0 0 0 0 0 0 10 169.779
115 5.38721 0.000594976 0 0 0.000594976 5.6411 1.60206e+09 0 1.09732e+06 41822.6 51.5792 10687.1 101.185 49.4509 0 0 0 0 0 0 0 0 0 0 10 177.781
116 5.6411 0.000479428 0 0 0.000479428 5.90696 1.68955e+09 0 1.10173e+06 47496.4 50.9402 10598.7 94.4698 60.0598 0 0 0 0 0 0 0 0 0 0 10 186.159
117 5.90696 0.000383667 0 0 0.000383667 6.18534 1.78035e+09 0 1.10558e+06 53929 50.3 10509.7 87.9304 73.1551 0 0 0 0 0 0 0 0 0 0 10 194.933
118 6.18534 0.0003048 0 0 0.0003048 6.47685 1.87451e+09 0 1.10893e+06 61220.4 49.6589 10420.2 81.6028 89.3528 0 0 0 0 0 0 0 0 0 0 10 204.12
119 6.47685 0.000240279 0 0 0.000240279 6.78209 1.97205e+09 0 1.11181e+06 69484 49.0176 10330.3 75.5133 109.432 0 0 0 0 0 0 0 0 0 0 10 213.74
120 6.78209 0.00018787 0 0 0.00018787 7.10172 2.07298e+09 0 1.11428e+06 78847.8 48.3767 10240 69.6894 134.365 0 0 0 0 0 0 0 0 0 0 10 223.813
121 7.10172 0.000145622 0 0 0.000145622 7.43642 2.17733e+09 0 1.11637e+06 89456.6 47.7366 10149.5 64.1478 165.381 0 0 0 0 0 0 0 0 0 0 10 234.361
122 7.43642 0.000111841 0 0 0.000111841 7.78689 2.2851e+09 0 1.11813e+06 101474 47.0979 10058.8 58.8989 204.038 0 0 0 0 0 0 0 0 0 0 10 245.406
123 7.78689 8.50655e-05 0 0 8.50655e-05 8.15387 2.39631e+09 0 1.11959e+06 115086 46.4612 9967.92 58.071 234.394 0 0 0 0 0 0 0 0 0 0 10 256.971
124 8.15387 6.40384e-05 0 0 6.40384e-05 8.53815 2.51094e+09 0 1.12079e+06 130500 45.8269 9876.99 65.4636 235.47 0 0 0 0 0 0 0 0 0 0 10 269.082
125 8.53815 4.76885e-05 0 0 4.76885e-05 8.94054 2.629e+09 0 1.12177e+06 147955 45.1956 9786.08 73.7849 236.562 0 0 0 0 0 0 0 0 0 0 10 281.764
126 8.94054 3.51087e-05 0 0 3.51087e-05 9.36189 2.75048e+09 0 1.12256e+06 167717 44.5678 9695.24 83.151 237.667 0 0 0 0 0 0 0 0 0 0 10 295.043
127 9.36189 2.55374e-05 0 0 2.55374e-05 9.80311 2.87537e+09 0 1.12318e+06 190090 43.944 9604.55 93.6925 238.787 0 0 0 0 0 0 0 0 0 0 10 308.948
128 9.80311 1.8341e-05 0 0 1.8341e-05 10.2651 3.00364e+09 0 1.12367e+06 215415 43.3246 9514.09 105.556 239.919 0 0 0 0 0 0 0 0 0 0 10 323.508
129 10.2651 1.29978e-05 0 0 1.29978e-05 10.7489 3.13528e+09 0 1.12405e+06 244079 42.71 9423.91 118.908 241.064 0 0 0 0 0 0 0 0 0 0 10 338.754
130 10.7489 9.08272e-06 0 0 9.08272e-06 11.2555 3.27025e+09 0 1.12434e+06 276521 42.1008 9334.08 133.935 242.222 0 0 0 0 0 0 0 0 0 0 10 354.719
131 11.2555 6.25399e-06 0 0 6.25399e-06 11.7859 3.40854e+09 0 1.12456e+06 313236 41.4973 9244.66 150.846 243.39 0 0 0 0 0 0 0 0 0 0 10 371.437
132 11.7859 4.24008e-06 0 0 4.24008e-06 12.3414 3.5501e+09 0 1.12472e+06 354782 40.8999 9155.73 169.877 244.569 0 0 0 0 0 0 0 0 0 0 10 388.942
133 12.3414 2.82836e-06 0 0 2.82836e-06 12.923 3.69489e+09 0 1.12484e+06 401795 40.309 9067.33 191.297 245.759 0 0 0 0 0 0 0 0 0 0 10 407.272
134 12.923 1.8548e-06 0 0 1.8548e-06 13.5321 3.84289e+09 0 1.12492e+06 454991 39.725 8979.53 215.406 246.957 0 0 0 0 0 0 0 0 0 0 10 426.466
135 13.5321 1.19481e-06 0 0 1.19481e-06 14.1698 3.99403e+09 0 1.12498e+06 515182 39.1481 8892.38 242.542 248.164 0 0 0 0 0 0 0 0 0 0 10 446.565
136 14.1698 7.5539e-07 0 0 7.5539e-07 14.8376 4.14828e+09 0 1.12502e+06 583284 38.5787 8805.95 273.088 249.379 0 0 0 0 0 0 0 0 0 0 10 467.611
137 14.8376 4.68298e-07 0 0 4.68298e-07 15.5369 4.30558e+09 0 1.12505e+06 660338 38.017 8720.27 307.475 250.601 0 0 0 0 0 0 0 0 0 0 10 489.649
138 15.5369 2.84412e-07 0 0 2.84412e-07 16.2691 4.46589e+09 0 1.12507e+06 747519 37.4634 8635.4 346.191 251.83 0 0 0 0 0 0 0 0 0 0 10 512.725
139 16.2691 1.69053e-07 0 0 1.69053e-07 17.0358 4.62915e+09 0 1.12508e+06 846159 36.9181 8551.39 389.784 253.064 0 0 0 0 0 0 0 0 0 0 10 536.889
140 17.0358 9.82439e-08 0 0 9.82439e-08 17.8387 4.7953e+09 0 1.12509e+06 957767 36.3812 8468.28 438.875 254.303 0 0 0 0 0 0 0 0 0 0 10 562.192
141 17.8387 5.57616e-08 0 0 5.57616e-08 18.6794 4.96429e+09 0 1.12509e+06 1.08405e+06 35.853 8386.12 494.166 255.545 0 0 0 0 0 0 0 0 0 0 10 588.688
142 18.6794 3.08766e-08 0 0 3.08766e-08 19.5598 5.13605e+09 0 1.1251e+06 1.22694e+06 35.3336 8304.94 556.446 256.791 0 0 0 0 0 0 0 0 0 0 10 616.432
143 19.5598 1.66603e-08 0 0 1.66603e-08 20.4816 5.31053e+09 0 1.1251e+06 1.38863e+06 34.8233 8224.78 626.612 258.04 0 0 0 0 0 0 0 0 0 0 10 645.483
144 20.4816 8.74921e-09 0 0 8.74921e-09 21.4469 5.48767e+09 0 1.1251e+06 1.5716e+06 34.3221 8145.67 705.674 259.29 0 0 0 0 0 0 0 0 0 0 10 675.904
145 21.4469 4.46618e-09 0 0 4.46618e-09 22.4576 5.66739e+09 0 1.1251e+06 1.77867e+06 33.8302 8067.65 794.776 260.54 0 0 0 0 0 0 0 0 0 0 10 707.758
