#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin
25 0.0853815 0 1440.27 167.95 3.88033 0.0894054 3.73514e+06 3.38501e+07 0 72393.1 1.88514e+07 93384.4 1.06371e+07 2.38289e-06 9.3753e+14 0 0 469.464 17413.4 0.212469 7.88093 inf 0.00547184 12
26 0.0894054 0 1433.34 167.77 3.8804 0.0936189 4.09464e+06 3.73227e+07 0 80468.5 1.82118e+07 96001.8 1.12676e+07 2.54865e-06 9.36202e+14 0 0 514.028 19049.3 0.212168 7.86271 inf 0.0054856 12
27 0.0936189 0 1426.18 167.581 3.88048 0.0980311 4.48868e+06 4.11113e+07 0 89425.1 1.75925e+07 98687.6 1.19346e+07 2.72598e-06 9.34814e+14 0 0 562.785 20836.7 0.211854 7.84373 inf 0.00549981 12
28 0.0980311 0 1418.8 167.385 3.88055 0.102651 4.9206e+06 4.52439e+07 0 99358.2 1.69929e+07 101443 1.264e+07 3.0006e-06 9.33362e+14 0 0 616.123 22789.3 0.211524 7.82393 inf 0.00551447 12
29 0.102651 0 1411.19 167.179 3.88063 0.107489 5.39402e+06 4.9751e+07 0 110373 1.64125e+07 104270 1.33861e+07 3.17508e-06 9.31844e+14 0 0 674.466 24922.1 0.21118 7.8033 inf 0.00552959 12
30 0.107489 0 1403.35 166.963 3.88072 0.112555 5.91291e+06 5.46654e+07 0 122587 1.58506e+07 107171 1.41751e+07 3.35983e-06 9.30257e+14 0 0 738.278 27251.3 0.210821 7.78181 inf 0.00554519 12
31 0.112555 0 1395.26 166.738 3.88081 0.117859 6.48165e+06 6.00229e+07 0 136130 1.53067e+07 110145 1.50094e+07 3.55547e-06 9.28598e+14 0 0 808.062 29794.5 0.210445 7.75942 inf 0.00556127 12
32 0.117859 0 1386.93 166.503 3.8809 0.123414 7.10501e+06 6.58622e+07 0 151144 1.47803e+07 113196 1.58914e+07 3.87727e-06 9.26864e+14 0 0 884.368 32570.8 0.210052 7.7361 inf 0.00557785 12
33 0.123414 0 1378.36 166.256 3.881 0.12923 7.78821e+06 7.22253e+07 0 167788 1.42707e+07 116325 1.68238e+07 4.05884e-06 9.25052e+14 0 0 967.795 35601.1 0.209641 7.71181 inf 0.00559493 12
34 0.12923 0 1369.53 165.999 3.8811 0.135321 8.53699e+06 7.91576e+07 0 186237 1.37774e+07 119534 1.78093e+07 4.24917e-06 9.23158e+14 0 0 1058.99 38907.8 0.209212 7.68653 inf 0.00561254 12
35 0.135321 0 1360.44 165.73 3.8812 0.141698 9.35762e+06 8.67083e+07 0 206686 1.33001e+07 122823 1.88509e+07 4.44873e-06 9.21179e+14 0 0 1158.67 42515.5 0.208764 7.6602 inf 0.00563067 12
36 0.141698 0 1351.1 165.448 3.88131 0.148376 1.0257e+07 9.49306e+07 0 229349 1.28381e+07 126196 1.99517e+07 4.74195e-06 9.19111e+14 0 0 1267.61 46450.6 0.208295 7.63281 inf 0.00564935 12
37 0.148376 0 1341.49 165.154 3.88143 0.155369 1.12426e+07 1.03882e+08 0 254463 1.23909e+07 129653 2.11147e+07 4.96648e-06 9.16951e+14 0 0 1386.64 50742 0.207805 7.60434 inf 0.00566859 12
38 0.155369 0 1331.61 164.847 3.88155 0.162691 1.23228e+07 1.13625e+08 0 282291 1.19583e+07 133196 2.23433e+07 5.20203e-06 9.14694e+14 0 0 1516.68 55420.8 0.207294 7.57472 inf 0.00568839 12
39 0.162691 0 1321.46 164.525 3.88168 0.170358 1.35064e+07 1.24226e+08 0 313124 1.15396e+07 136827 2.36412e+07 5.44912e-06 9.12336e+14 0 0 1658.72 60520.6 0.20676 7.54391 inf 0.00570876 12
40 0.170358 0 1311.04 164.189 3.88181 0.178387 1.48035e+07 1.35759e+08 0 347281 1.11344e+07 140548 2.50119e+07 5.70837e-06 9.09875e+14 0 0 1813.84 66077.7 0.206202 7.51188 inf 0.00572971 12
41 0.178387 0 1300.34 163.838 3.88195 0.186794 1.62249e+07 1.48301e+08 0 385118 1.07424e+07 144360 2.64595e+07 5.97611e-06 9.07304e+14 0 0 1983.22 72131.6 0.205619 7.47858 inf 0.00575126 12
42 0.186794 0 1289.36 163.472 3.88209 0.195598 1.77824e+07 1.61936e+08 0 427027 1.03631e+07 148265 2.79879e+07 6.26132e-06 9.04619e+14 0 0 2168.12 78724.8 0.205011 7.44398 inf 0.0057734 12
43 0.195598 0 1278.09 163.088 3.88224 0.204816 1.9489e+07 1.76757e+08 0 473441 9.99616e+06 152265 2.96014e+07 6.56067e-06 9.01817e+14 0 0 2369.93 85903.2 0.204376 7.40803 inf 0.00579616 12
44 0.204816 0 1266.54 162.688 3.8824 0.214469 2.1359e+07 1.92861e+08 0 524838 9.64115e+06 156362 3.13046e+07 6.87485e-06 8.98891e+14 0 0 2590.15 93716.2 0.203713 7.37069 inf 0.00581954 12
45 0.214469 0 1254.7 162.27 3.88257 0.224576 2.34078e+07 2.10353e+08 0 581749 9.29772e+06 160557 3.31021e+07 7.47403e-06 8.95838e+14 0 0 2830.39 102217 0.203021 7.33192 inf 0.00584356 12
46 0.224576 0 1242.57 161.833 3.88274 0.23516 2.56525e+07 2.29347e+08 0 644756 8.96551e+06 164852 3.49989e+07 7.87292e-06 8.92652e+14 0 0 3092.43 111464 0.202298 7.29168 inf 0.00586822 12
47 0.23516 0 1230.15 161.377 3.88292 0.246243 2.81118e+07 2.49966e+08 0 714505 8.64416e+06 169249 3.70001e+07 8.29367e-06 8.89327e+14 0 0 3378.15 121518 0.201545 7.24991 inf 0.00589352 12
48 0.246243 0 1217.43 160.901 3.88311 0.257848 3.08061e+07 2.72341e+08 0 791708 8.33335e+06 173750 3.91111e+07 8.73755e-06 8.85859e+14 0 0 3689.62 132445 0.200759 7.20659 inf 0.0059195 12
49 0.257848 0 1204.42 160.404 3.8833 0.27 3.37577e+07 2.96612e+08 0 877152 8.03275e+06 178356 4.13375e+07 9.3774e-06 8.82242e+14 0 0 4029.07 144318 0.199939 7.16166 inf 0.00594614 12
50 0.27 0 1191.11 159.885 3.88351 0.282725 3.6991e+07 3.2293e+08 0 971704 7.74203e+06 183069 4.36852e+07 9.93475e-06 8.7847e+14 0 0 4398.9 157212 0.199085 7.11508 inf 0.00597347 12
51 0.282725 0 1177.51 159.343 3.88372 0.296049 4.05329e+07 3.51458e+08 0 1.07632e+06 7.46089e+06 187891 4.61605e+07 1.05258e-05 8.74537e+14 0 0 4801.71 171210 0.198193 7.06681 inf 0.00600149 12
52 0.296049 0 1163.61 158.778 3.88395 0.310001 4.44124e+07 3.82369e+08 0 1.19206e+06 7.18903e+06 192823 4.87697e+07 1.11528e-05 8.70438e+14 0 0 5240.29 186400 0.197264 7.01681 inf 0.00603022 12
53 0.310001 0 1149.41 158.188 3.88418 0.324611 4.86618e+07 4.15849e+08 0 1.32009e+06 6.92616e+06 197867 5.15195e+07 1.18178e-05 8.66165e+14 0 0 5717.66 202875 0.196296 6.96502 inf 0.00605966 12
54 0.324611 0 1134.91 157.573 3.88442 0.33991 5.33159e+07 4.52095e+08 0 1.46169e+06 6.672e+06 203025 5.44171e+07 1.29172e-05 8.61714e+14 0 0 6237.07 220736 0.195287 6.91141 inf 0.00608983 12
55 0.33991 0 1120.12 156.931 3.88468 0.355929 5.8413e+07 4.91321e+08 0 1.61829e+06 6.42628e+06 208298 5.74697e+07 1.39727e-05 8.57077e+14 0 0 6802 240090 0.194236 6.85594 inf 0.00612074 12
56 0.355929 0 1105.03 156.261 3.88494 0.372704 6.3995e+07 5.33751e+08 0 1.79144e+06 6.18873e+06 213688 6.0685e+07 1.51143e-05 8.52247e+14 0 0 7416.22 261050 0.193142 6.79856 inf 0.00615239 12
57 0.372704 0 1089.65 155.563 3.88522 0.390269 7.01078e+07 5.79628e+08 0 1.98286e+06 5.95911e+06 219196 6.40709e+07 1.63491e-05 8.47219e+14 0 0 8083.75 283739 0.192002 6.73926 inf 0.00618482 12
58 0.390269 0 1073.97 154.836 3.88551 0.408662 7.68013e+07 6.29207e+08 0 2.19446e+06 5.73715e+06 224824 6.76357e+07 1.78382e-05 8.41985e+14 0 0 8808.9 308286 0.190816 6.67802 inf 0.00621805 12
59 0.408662 0 1057.99 154.077 3.88581 0.427921 8.41303e+07 6.82761e+08 0 2.42832e+06 5.52263e+06 230573 7.13881e+07 2.03974e-05 8.36539e+14 0 0 9596.29 334828 0.189582 6.61477 inf 0.00625222 12
60 0.427921 0 1041.72 153.287 3.88612 0.448088 9.21546e+07 7.40578e+08 0 2.68675e+06 5.31531e+06 236445 7.5337e+07 2.33182e-05 8.30873e+14 0 0 10450.9 363510 0.188298 6.54952 inf 0.00628724 12
61 0.448088 0 1025.16 152.464 3.88645 0.469206 1.0094e+08 8.02966e+08 0 2.97229e+06 5.11496e+06 242441 7.94918e+07 2.66508e-05 8.24981e+14 0 0 11377.9 394482 0.186963 6.48218 inf 0.00632307 12
62 0.469206 0 1008.34 151.607 3.88679 0.491319 1.10557e+08 8.7025e+08 0 3.28771e+06 4.92137e+06 248562 8.38621e+07 3.0452e-05 8.18855e+14 0 0 12383 427907 0.185574 6.41272 inf 0.0063597 12
63 0.491319 0 991.238 150.714 3.88714 0.514474 1.21084e+08 9.42774e+08 0 3.63611e+06 4.73432e+06 254810 8.8458e+07 3.56958e-05 8.12489e+14 0 0 13472.1 463951 0.184131 6.34111 inf 0.00639716 12
64 0.514474 0 973.875 149.785 3.88751 0.538721 1.32606e+08 1.0209e+09 0 4.02085e+06 4.5536e+06 261185 9.329e+07 4.26206e-05 8.05874e+14 0 0 14651.6 502792 0.182632 6.26732 inf 0.00643545 12
65 0.538721 0 956.257 148.817 3.8879 0.56411 1.45217e+08 1.10502e+09 0 4.44566e+06 4.37903e+06 267689 9.83688e+07 5.0865e-05 7.99005e+14 0 0 15928.2 544620 0.181076 6.19137 inf 0.00647459 12
66 0.56411 0 938.389 147.811 3.8883 0.590696 1.59018e+08 1.19553e+09 0 4.91463e+06 4.2104e+06 274322 1.03706e+08 6.06743e-05 7.91874e+14 0 0 17309.1 589626 0.17946 6.11322 inf 0.00651459 12
67 0.590696 0 920.277 146.765 3.88872 0.618534 1.7412e+08 1.29285e+09 0 5.43224e+06 4.04753e+06 281085 1.09312e+08 7.23396e-05 7.84474e+14 0 0 18801.7 638010 0.177783 6.03283 inf 0.00655545 12
68 0.618534 0 901.93 145.677 3.88915 0.647685 1.90644e+08 1.39744e+09 0 6.00344e+06 3.89024e+06 287980 1.15201e+08 8.32916e-05 7.76799e+14 0 0 20413.9 689981 0.176043 5.95019 inf 0.00659717 12
69 0.647685 0 883.357 144.546 3.8896 0.678209 2.08722e+08 1.50976e+09 0 6.63367e+06 3.73834e+06 295006 1.21383e+08 9.73076e-05 7.68841e+14 0 0 22154.1 745755 0.17424 5.86529 inf 0.00663977 12
70 0.678209 0 864.571 143.371 3.89007 0.710172 2.28499e+08 1.63029e+09 0 7.32887e+06 3.59168e+06 302165 1.27873e+08 0.000113634 7.60593e+14 0 0 24030.9 805559 0.172371 5.77817 inf 0.00668329 12
71 0.710172 0 845.584 142.15 3.89056 0.743642 2.50132e+08 1.75955e+09 0 8.09561e+06 3.45009e+06 309456 1.34682e+08 0.000132642 7.52051e+14 0 0 26053.4 869625 0.170435 5.68886 inf 0.00672773 12
72 0.743642 0 826.403 140.883 3.89106 0.778689 2.73792e+08 1.89807e+09 0 8.94106e+06 3.3134e+06 316879 1.41825e+08 0.000156979 7.43207e+14 0 0 28231.1 938176 0.16843 5.59729 inf 0.00677308 12
73 0.778689 0 807.039 139.568 3.89158 0.815387 2.99666e+08 2.04639e+09 0 9.87312e+06 3.18146e+06 324436 1.49316e+08 0.000177128 7.34056e+14 0 0 30573.6 1.01145e+06 0.166357 5.50348 inf 0.00681934 12
74 0.815387 0 787.509 138.203 3.89213 0.853815 3.27958e+08 2.20508e+09 0 1.09004e+07 3.05412e+06 332126 1.57169e+08 0.00019981 7.24593e+14 0 0 33091.1 1.08969e+06 0.164212 5.40748 inf 0.00686656 12
75 0.853815 0 767.831 136.789 3.89269 0.894054 3.58891e+08 2.37474e+09 0 1.20325e+07 2.93124e+06 339948 1.65398e+08 0.000225333 7.14813e+14 0 0 35793.9 1.17314e+06 0.161995 5.30937 inf 0.00691476 12
76 0.894054 0 748.012 135.322 3.89327 0.936189 3.92706e+08 2.55596e+09 0 1.32797e+07 2.81267e+06 347902 1.7402e+08 0.000254045 7.0471e+14 0 0 38692.6 1.26202e+06 0.159706 5.20908 inf 0.0069639 12
77 0.936189 0 728.068 133.803 3.89388 0.980311 4.29666e+08 2.74937e+09 0 1.46534e+07 2.69828e+06 355989 1.83049e+08 0.000279793 6.94282e+14 0 0 41797.8 1.35658e+06 0.157343 5.10667 inf 0.007014 12
78 0.980311 0 708.015 132.231 3.8945 1.02651 4.70059e+08 2.9556e+09 0 1.61662e+07 2.58793e+06 364206 1.92501e+08 0.000303956 6.83526e+14 0 0 45120.3 1.45702e+06 0.154905 5.00216 inf 0.00706505 12
79 1.02651 0 687.882 130.603 3.89515 1.07489 5.14197e+08 3.1753e+09 0 1.78316e+07 2.4815e+06 372552 2.02392e+08 0.00033019 6.72438e+14 0 0 48670.9 1.56361e+06 0.152392 4.89577 inf 0.00711716 12
80 1.07489 0 667.678 128.919 3.89581 1.12555 5.62418e+08 3.40911e+09 0 1.96647e+07 2.37885e+06 381028 2.12739e+08 0.00035867 6.61017e+14 0 0 52460.2 1.67652e+06 0.149804 4.78742 inf 0.00717025 12
81 1.12555 0 647.42 127.179 3.8965 1.17859 6.15094e+08 3.65771e+09 0 2.16818e+07 2.27988e+06 389631 2.23559e+08 0.000389587 6.49262e+14 0 0 56498.6 1.79593e+06 0.14714 4.67717 inf 0.00722432 12
82 1.17859 0 627.134 125.381 3.89721 1.23414 6.72624e+08 3.92174e+09 0 2.39008e+07 2.18447e+06 398359 2.34869e+08 0.000430278 6.37174e+14 0 0 60796 1.92204e+06 0.1444 4.56517 inf 0.00727942 12
83 1.23414 0 606.842 123.524 3.89794 1.2923 7.35446e+08 4.20189e+09 0 2.63413e+07 2.09249e+06 407212 2.46685e+08 0.000461196 6.24752e+14 0 0 65362 2.05503e+06 0.141585 4.45154 inf 0.00733559 12
84 1.2923 0 586.559 121.609 3.89869 1.35321 8.04034e+08 4.49879e+09 0 2.90247e+07 2.00384e+06 416186 2.59026e+08 0.000494361 6.12001e+14 0 0 70205.2 2.19495e+06 0.138696 4.33628 inf 0.00739274 12
85 1.35321 0 566.306 119.635 3.89946 1.41698 8.78901e+08 4.8131e+09 0 3.19742e+07 1.91842e+06 425279 2.71908e+08 0.000529941 5.98922e+14 0 0 75333.4 2.34189e+06 0.135732 4.21948 inf 0.00745089 12
86 1.41698 0 546.119 117.6 3.90024 1.48376 9.60608e+08 5.14545e+09 0 3.52155e+07 1.83611e+06 434488 2.85351e+08 0.000568116 5.85521e+14 0 0 80753.2 2.49599e+06 0.132695 4.10143 inf 0.00751015 12
87 1.48376 0 526.012 115.506 3.90105 1.55369 1.04976e+09 5.49645e+09 0 3.87763e+07 1.75683e+06 443811 2.99371e+08 0.000609073 5.71804e+14 0 0 86469.8 2.65719e+06 0.129586 3.98214 inf 0.00757043 12
88 1.55369 0 506.014 113.351 3.90187 1.62691 1.14701e+09 5.86668e+09 0 4.26869e+07 1.68047e+06 453244 3.13986e+08 0.000641958 5.57778e+14 0 0 92486.6 2.82549e+06 0.126407 3.86178 inf 0.00763177 12
89 1.62691 0 486.152 111.137 3.90271 1.70358 1.25308e+09 6.25669e+09 0 4.69804e+07 1.60694e+06 462783 3.29214e+08 0.000688322 5.43453e+14 0 0 98805.1 3.00083e+06 0.123161 3.74055 inf 0.0076942 12
90 1.70358 0 466.439 108.863 3.90355 1.78387 1.36874e+09 6.66699e+09 0 5.16929e+07 1.53615e+06 472425 3.45074e+08 0.000738086 5.2884e+14 0 0 105424 3.18295e+06 0.119849 3.61846 inf 0.00775762 12
91 1.78387 0 446.923 106.532 3.90262 1.86794 1.49481e+09 7.09805e+09 0 5.68635e+07 1.468e+06 482166 3.61582e+08 0.000791493 5.13959e+14 0 0 112343 3.37184e+06 0.116477 3.49592 inf 0.00782218 12
92 1.86794 0 427.609 104.143 3.90162 1.95598 1.63221e+09 7.55027e+09 0 6.2535e+07 1.40243e+06 492000 3.78756e+08 0.000848821 4.98817e+14 0 0 119552 3.567e+06 0.113045 3.37285 inf 0.0078877 12
93 1.95598 0 408.52 102.294 3.90096 2.04816 1.78191e+09 8.02399e+09 0 6.87537e+07 1.33933e+06 501922 3.96613e+08 0.000896239 4.87176e+14 0 0 128028 3.76829e+06 0.110407 3.24966 inf 0.00795471 12
94 2.04816 0.0112482 389.697 2.97046e-05 0.0112184 2.14469 1.94497e+09 8.51948e+09 14301.7 7.55702e+07 1.27863e+06 511928 4.1517e+08 0.000980451 4.75633e+14 0 0 137254 3.97504e+06 0.107949 3.12633 9.59704 0.00802246 12
95 2.14469 0.701787 371.152 0.283425 0.418362 2.24576 2.12253e+09 9.03692e+09 992692 8.30393e+07 1.22026e+06 522011 4.34442e+08 0.0010724 4.63838e+14 0 0 160285 4.18665e+06 0.114971 3.00303 0.163826 0.00809111 12
96 2.24576 1.39415 352.908 0.669243 0.724906 2.3516 2.31582e+09 9.57639e+09 3.12385e+06 9.12205e+07 1.16413e+06 532166 4.54447e+08 0.00117277 4.51801e+14 0 0 186436 4.40244e+06 0.121962 2.87997 0.0874812 0.00816067 12
97 2.3516 2.08659 334.99 1.10224 0.984349 2.46243 2.52616e+09 1.01379e+10 6.62124e+06 1.00179e+08 1.11018e+06 542386 4.75198e+08 0.00128232 4.3953e+14 0 0 216052 4.62164e+06 0.1289 2.75733 0.0617753 0.00823109 12
98 2.46243 2.77725 317.423 1.56685 1.2104 2.57848 2.755e+09 1.07212e+10 1.17254e+07 1.09983e+08 1.05834e+06 552663 4.9671e+08 0.00140185 4.27038e+14 0 0 249507 4.84334e+06 0.135761 2.63535 0.0488833 0.00830235 12
99 2.57848 3.46412 300.228 2.05374 1.41039 2.7 3.00386e+09 1.13262e+10 1.87061e+07 1.20711e+08 1.00852e+06 562991 5.18997e+08 0.00150837 4.14337e+14 0 0 287200 5.06655e+06 0.142521 2.51423 0.0411419 0.00837441 12
100 2.7 4.14509 283.429 2.55602 1.58906 2.82725 3.27442e+09 1.19525e+10 2.78649e+07 1.32443e+08 960674 573362 5.4207e+08 0.00168488 4.01442e+14 0 0 329560 5.29013e+06 0.149151 2.3942 0.0359827 0.00844725 12
101 2.82725 4.8179 267.048 3.06805 1.74984 2.96049 3.56844e+09 1.25995e+10 3.95374e+07 1.4527e+08 914730 583768 5.65943e+08 0.0018811 3.88368e+14 0 0 377040 5.51286e+06 0.155626 2.27547 0.0323016 0.00852082 12
102 2.96049 5.48016 251.104 3.58486 1.89531 3.10001 3.88785e+09 1.32665e+10 5.40954e+07 1.59287e+08 870625 594200 5.90624e+08 0.00209907 3.75134e+14 0 0 430120 5.73338e+06 0.161913 2.15826 0.0295454 0.00859509 12
103 3.10001 6.12154 235.613 4.09538 2.02616 3.24611 4.23471e+09 1.39528e+10 7.1926e+07 1.74598e+08 828299 604649 6.16122e+08 0.00234105 3.6194e+14 0 0 489021 5.95027e+06 0.167889 2.04282 0.0274259 0.00867024 12
104 3.24611 4.98397 220.647 3.12213 1.86183 3.3991 4.61121e+09 1.46575e+10 8.78438e+07 1.91315e+08 787693 615105 6.42446e+08 0.0026095 3.47072e+14 0 0 474505 6.16364e+06 0.148571 1.92988 0.0298098 0.00874647 12
105 3.3991 3.60036 206.165 2.01165 1.58871 3.55929 5.01972e+09 1.53795e+10 1.00452e+08 2.0956e+08 748749 625560 6.696e+08 0.00290713 3.3356e+14 0 0 441613 6.37068e+06 0.126106 1.8192 0.0350259 0.00882399 12
106 3.55929 2.29495 192.193 1.06417 1.23077 3.72704 5.46277e+09 1.61175e+10 1.09264e+08 2.29464e+08 711411 636002 6.9759e+08 0.00311324 3.19976e+14 0 0 402089 6.5694e+06 0.104717 1.71088 0.0456292 0.00890188 12
107 3.72704 1.07306 178.739 0.335672 0.737385 3.90269 5.94307e+09 1.687e+10 1.13782e+08 2.51167e+08 675626 646422 7.26417e+08 0.00343074 3.06346e+14 0 0 355700 6.75802e+06 0.0844847 1.60514 0.0787327 0.00898034 12
108 3.90269 0 165.816 60.2766 3.8712 4.08662 6.46349e+09 1.76355e+10 1.13782e+08 2.74821e+08 641341 656807 7.56082e+08 0.00377907 2.92698e+14 0 0 306222 6.9347e+06 0.066333 1.50218 inf 0.0090593 12
109 4.08662 0 153.432 56.7803 3.86651 4.27921 7.02712e+09 1.84121e+10 1.13782e+08 3.00589e+08 608505 667147 7.86582e+08 0.00416106 2.80874e+14 0 0 322202 7.0981e+06 0.0636534 1.40228 inf 0.00913945 12
110 4.27921 0 141.63 53.8222 3.85935 4.48088 7.63724e+09 1.91982e+10 1.13782e+08 3.28646e+08 577070 677429 8.17915e+08 0.00457973 2.70682e+14 0 0 340469 7.24829e+06 0.0613438 1.30596 inf 0.00922092 12
