#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar
27 0.0936189 7.08303 2192.9 5.68435 1.39869 0.0980311 4.48868e+06 6.40603e+07 199104 22.7648 5765.77 1.10034e+06 0.590139 4.97414 6.19154e+13 0 0 859.564 120929 0.323573 45.5222
28 0.0980311 7.07409 2176.53 5.67532 1.39877 0.102651 4.9206e+06 7.04e+07 219709 26.1346 5764.96 1.10024e+06 0.677455 4.97429 6.18448e+13 0 0 941.13 131610 0.323104 45.1837
29 0.102651 7.06475 2159.61 5.66589 1.39886 0.107489 5.39402e+06 7.72974e+07 242272 30.0032 5764.11 1.10013e+06 0.777683 4.97445 6.17709e+13 0 0 1030.37 143190 0.322615 44.8338
30 0.107489 7.05498 2142.13 5.65603 1.39895 0.112555 5.91291e+06 8.47989e+07 266978 34.4442 5763.22 1.10001e+06 0.892735 4.97459 6.16937e+13 0 0 1127.98 155739 0.322103 44.4724
31 0.112555 7.04476 2124.08 5.64572 1.39904 0.117859 6.48165e+06 9.29549e+07 294029 39.5423 5762.28 1.0999e+06 1.0248 4.97475 6.16128e+13 0 0 1234.75 169331 0.321568 44.0991
32 0.117859 7.03409 2105.45 5.63495 1.39914 0.123414 7.10501e+06 1.01819e+08 323644 45.3947 5761.31 1.09977e+06 1.17639 4.97493 6.15283e+13 0 0 1351.53 184046 0.32101 43.7139
33 0.123414 7.02294 2086.23 5.62369 1.39925 0.12923 7.78821e+06 1.1145e+08 356065 52.113 5760.28 1.09964e+06 1.35038 4.97511 6.14399e+13 0 0 1479.22 199968 0.320425 43.3165
34 0.12923 7.01129 2066.43 5.61193 1.39936 0.135321 8.53699e+06 1.2191e+08 391555 59.8252 5759.21 1.09951e+06 1.5501 4.97529 6.13475e+13 0 0 1618.85 217186 0.319815 42.9067
35 0.135321 6.99909 2046.02 5.59961 1.39948 0.141698 9.35762e+06 1.33266e+08 430401 68.6783 5758.09 1.09936e+06 1.77934 4.97548 6.12506e+13 0 0 1771.48 235797 0.319175 42.4845
36 0.141698 6.98629 2025 5.58669 1.3996 0.148376 1.0257e+07 1.45589e+08 472917 78.8409 5756.92 1.09921e+06 2.04246 4.97569 6.11488e+13 0 0 1938.3 255900 0.318503 42.0498
37 0.148376 6.97292 2003.37 5.57318 1.39974 0.155369 1.12426e+07 1.58957e+08 519446 90.5067 5755.69 1.09906e+06 2.34446 4.97589 6.10424e+13 0 0 2120.61 277603 0.317801 41.6023
38 0.155369 6.95896 1981.13 5.55908 1.39988 0.162691 1.23228e+07 1.73452e+08 570361 103.898 5754.41 1.09889e+06 2.69107 4.97613 6.09312e+13 0 0 2319.84 301018 0.317067 41.1421
39 0.162691 6.94437 1958.27 5.54435 1.40003 0.170358 1.35064e+07 1.89163e+08 626072 119.269 5753.07 1.09872e+06 3.08891 4.97634 6.08149e+13 0 0 2537.51 326265 0.316301 40.669
40 0.170358 6.92915 1934.79 5.52897 1.40018 0.178387 1.48035e+07 2.06182e+08 687024 136.914 5751.66 1.09854e+06 3.54549 4.97659 6.06934e+13 0 0 2775.29 353467 0.315501 40.183
41 0.178387 6.91326 1910.68 5.51291 1.40035 0.186794 1.62249e+07 2.24611e+08 753703 157.167 5750.19 1.09836e+06 4.06952 4.97684 6.05663e+13 0 0 3034.99 382757 0.314666 39.6841
42 0.186794 6.89667 1885.96 5.49615 1.40052 0.195598 1.77824e+07 2.44556e+08 826639 180.415 5748.64 1.09816e+06 4.67093 4.97711 6.04336e+13 0 0 3318.58 414272 0.313794 39.1723
43 0.195598 6.87935 1860.62 5.47865 1.4007 0.204816 1.9489e+07 2.66131e+08 906412 207.099 5747.03 1.09795e+06 5.36113 4.9774 6.02949e+13 0 0 3628.19 448156 0.312884 38.6476
44 0.204816 6.86128 1834.66 5.4604 1.40089 0.214469 2.1359e+07 2.89459e+08 993651 237.728 5745.34 1.09774e+06 6.15323 4.97769 6.01499e+13 0 0 3966.16 484560 0.311934 38.1102
45 0.214469 6.84244 1808.09 5.44135 1.40109 0.224576 2.34078e+07 3.14666e+08 1.08904e+06 272.884 5743.58 1.09751e+06 7.06227 4.97798 5.99985e+13 0 0 4334.99 523639 0.310943 37.56
46 0.224576 6.82277 1780.92 5.42147 1.4013 0.23516 2.56525e+07 3.4189e+08 1.19334e+06 313.235 5741.73 1.09728e+06 8.10542 4.97832 5.98403e+13 0 0 4737.41 565556 0.309909 36.9972
47 0.23516 6.80226 1753.15 5.40074 1.40152 0.246243 2.81118e+07 3.71275e+08 1.30735e+06 359.549 5739.79 1.09703e+06 9.30253 4.97864 5.96751e+13 0 0 5176.39 610479 0.308831 36.422
48 0.246243 6.78076 1724.79 5.379 1.40177 0.257848 3.08061e+07 4.02974e+08 1.43197e+06 412.706 5737.77 1.09677e+06 10.6762 4.97901 5.95015e+13 0 0 5654.97 658581 0.307697 35.8346
49 0.257848 6.75833 1695.86 5.3563 1.40202 0.27 3.37577e+07 4.37148e+08 1.56816e+06 473.716 5735.65 1.0965e+06 12.2525 4.97936 5.932e+13 0 0 6176.71 710041 0.306514 35.2352
50 0.27 6.73494 1666.37 5.33265 1.40229 0.282725 3.6991e+07 4.73967e+08 1.71698e+06 543.737 5733.44 1.09622e+06 14.0612 4.97976 5.91306e+13 0 0 6745.37 765041 0.305281 34.6241
51 0.282725 6.71058 1636.33 5.308 1.40258 0.296049 4.05329e+07 5.13611e+08 1.87956e+06 624.1 5731.12 1.09593e+06 16.1366 4.98014 5.89328e+13 0 0 7365 823767 0.303995 34.0015
52 0.296049 6.6852 1605.75 5.28231 1.40289 0.310001 4.44124e+07 5.56268e+08 2.05715e+06 716.33 5728.69 1.09562e+06 18.5179 4.98058 5.87264e+13 0 0 8039.95 886410 0.302654 33.3678
53 0.310001 6.65876 1574.67 5.25556 1.40321 0.324611 4.86618e+07 6.02134e+08 2.2511e+06 822.177 5726.15 1.09529e+06 21.2501 4.98101 5.85109e+13 0 0 8774.96 953161 0.301258 32.7235
54 0.324611 6.63124 1543.09 5.22769 1.40354 0.33991 5.33159e+07 6.51417e+08 2.46289e+06 943.649 5723.5 1.09496e+06 24.3848 4.98148 5.82861e+13 0 0 9575.11 1.02421e+06 0.299804 32.0689
55 0.33991 6.60257 1511.05 5.19867 1.4039 0.355929 5.8413e+07 7.04333e+08 2.69411e+06 1083.05 5720.72 1.0946e+06 27.9812 4.98196 5.80514e+13 0 0 10445.8 1.09976e+06 0.298288 31.4045
56 0.355929 6.57256 1478.56 5.16827 1.40429 0.372704 6.3995e+07 7.61107e+08 2.94648e+06 1243.02 5717.82 1.09423e+06 32.1071 4.98247 5.78051e+13 0 0 11392.6 1.17999e+06 0.296699 30.7308
57 0.372704 6.54134 1445.66 5.13664 1.40471 0.390269 7.01078e+07 8.21972e+08 3.22189e+06 1426.6 5714.78 1.09384e+06 36.8403 4.983 5.75482e+13 0 0 12422.1 1.26511e+06 0.295044 30.0483
58 0.390269 6.50888 1412.38 5.10373 1.40514 0.408662 7.68013e+07 8.87174e+08 3.52236e+06 1637.25 5711.6 1.09344e+06 42.2701 4.98356 5.72804e+13 0 0 13541.1 1.35528e+06 0.293323 29.3577
59 0.408662 6.47513 1378.73 5.06952 1.4056 0.427921 8.41303e+07 9.56963e+08 3.85012e+06 1878.98 5708.27 1.09301e+06 48.4988 4.98413 5.70012e+13 0 0 14756.9 1.4507e+06 0.291534 28.6596
60 0.427921 6.44005 1344.77 5.03396 1.40609 0.448088 9.21546e+07 1.0316e+09 4.20756e+06 2156.35 5704.8 1.09257e+06 55.6432 4.98475 5.67102e+13 0 0 16077.4 1.55153e+06 0.289673 27.9546
61 0.448088 6.40351 1310.52 4.9969 1.40661 0.469206 1.0094e+08 1.11135e+09 4.59725e+06 2474.6 5701.16 1.0921e+06 63.8383 4.98537 5.64062e+13 0 0 17510.4 1.65794e+06 0.287733 27.2435
62 0.469206 6.36544 1276.01 4.95826 1.40718 0.491319 1.10557e+08 1.1965e+09 5.022e+06 2839.77 5697.36 1.09162e+06 73.2374 4.98604 5.60882e+13 0 0 19064.6 1.77009e+06 0.285707 26.5271
63 0.491319 6.32591 1241.3 4.91814 1.40777 0.514474 1.21084e+08 1.28732e+09 5.48484e+06 3258.74 5693.38 1.09111e+06 84.0173 4.98674 5.57571e+13 0 0 20750 1.88811e+06 0.283604 25.806
64 0.514474 6.2848 1206.4 4.87639 1.40841 0.538721 1.32606e+08 1.3841e+09 5.98904e+06 3739.43 5689.22 1.09058e+06 96.3801 4.98748 5.54114e+13 0 0 22576.2 2.01212e+06 0.281413 25.0811
65 0.538721 6.24202 1171.38 4.83292 1.4091 0.56411 1.45217e+08 1.48714e+09 6.53811e+06 4290.92 5684.87 1.09002e+06 110.558 4.98822 5.50503e+13 0 0 24553.5 2.14223e+06 0.27913 24.3534
66 0.56411 6.19768 1136.27 4.78784 1.40983 0.590696 1.59018e+08 1.59674e+09 7.13588e+06 4923.61 5680.33 1.08944e+06 126.816 4.98902 5.46745e+13 0 0 26694 2.27851e+06 0.276762 23.6235
67 0.590696 6.15151 1101.11 4.74088 1.41063 0.618534 1.7412e+08 1.71318e+09 7.78644e+06 5649.42 5675.57 1.08883e+06 145.458 4.98987 5.42815e+13 0 0 29008 2.42104e+06 0.274291 22.8926
68 0.618534 6.10366 1065.95 4.69219 1.41147 0.647685 1.90644e+08 1.83679e+09 8.49422e+06 6482.04 5670.61 1.0882e+06 166.832 4.99073 5.38725e+13 0 0 31509.5 2.56983e+06 0.271728 22.1615
69 0.647685 6.05398 1030.83 4.64159 1.41239 0.678209 2.08722e+08 1.96786e+09 9.26397e+06 7437.14 5665.42 1.08753e+06 191.339 4.99164 5.34457e+13 0 0 34210.4 2.7249e+06 0.269062 21.4311
70 0.678209 6.0025 995.806 4.58913 1.41337 0.710172 2.28499e+08 2.10669e+09 1.01008e+07 8532.68 5659.99 1.08684e+06 219.434 4.9926 5.30013e+13 0 0 37125.3 2.88622e+06 0.266295 20.7025
71 0.710172 5.9491 960.923 4.53467 1.41443 0.743642 2.50132e+08 2.25358e+09 1.10102e+07 9789.28 5654.32 1.08611e+06 251.641 4.99361 5.25379e+13 0 0 40267.5 3.05371e+06 0.26342 19.9766
72 0.743642 5.89386 926.227 4.4783 1.41556 0.778689 2.73792e+08 2.40883e+09 1.19981e+07 11230.5 5648.39 1.08535e+06 288.559 4.99466 5.20559e+13 0 0 43653.3 3.22728e+06 0.260442 19.2544
73 0.778689 5.83658 891.766 4.41978 1.4168 0.815387 2.99666e+08 2.57272e+09 1.30708e+07 12883.5 5642.2 1.08456e+06 330.874 4.99576 5.15531e+13 0 0 47295.9 3.40678e+06 0.257346 18.5369
74 0.815387 5.7775 857.589 4.35939 1.41811 0.853815 3.27958e+08 2.74553e+09 1.4235e+07 14779.2 5635.73 1.08373e+06 379.372 4.9969 5.10316e+13 0 0 51214.9 3.59204e+06 0.25415 17.8252
75 0.853815 5.71647 823.743 4.29694 1.41953 0.894054 3.58891e+08 2.92755e+09 1.54981e+07 16953.1 5628.97 1.08287e+06 434.951 4.99809 5.04893e+13 0 0 55425.1 3.78282e+06 0.250842 17.1202
76 0.894054 5.6535 790.276 4.23245 1.42105 0.936189 3.92706e+08 3.11901e+09 1.68678e+07 19446 5621.91 1.08196e+06 498.639 4.99935 4.99262e+13 0 0 59944.4 3.97884e+06 0.247424 16.4229
77 0.936189 5.58861 757.232 4.16593 1.42268 0.980311 4.29666e+08 3.32017e+09 1.83524e+07 22304.4 5614.54 1.08101e+06 571.611 5.00068 4.93417e+13 0 0 64790.4 4.17977e+06 0.243896 15.7343
78 0.980311 5.52176 724.659 4.09732 1.42444 1.02651 4.70059e+08 3.53124e+09 1.99608e+07 25581.9 5606.84 1.08003e+06 655.219 5.00204 4.87353e+13 0 0 69980.6 4.38526e+06 0.240254 15.0553
79 1.02651 5.45297 692.6 4.02664 1.42633 1.07489 5.14197e+08 3.75245e+09 2.17023e+07 29339.5 5598.8 1.07899e+06 750.999 5.00347 4.81063e+13 0 0 75533 4.59485e+06 0.2365 14.3868
80 1.07489 5.38231 661.097 3.95394 1.42837 1.12555 5.62418e+08 3.98396e+09 2.35872e+07 33647.3 5590.41 1.07791e+06 860.709 5.00498 4.74551e+13 0 0 81467.3 4.80808e+06 0.232636 13.7298
81 1.12555 5.30968 630.192 3.8791 1.43058 1.17859 6.15094e+08 4.22594e+09 2.5626e+07 38585.6 5581.65 1.07679e+06 986.37 5.00654 4.67797e+13 0 0 87798.1 5.02442e+06 0.228654 13.0852
82 1.17859 5.23528 599.923 3.80233 1.43295 1.23414 6.72624e+08 4.47852e+09 2.78301e+07 44246.2 5572.5 1.07561e+06 1130.28 5.00818 4.60817e+13 0 0 94548.1 5.24328e+06 0.224567 12.4537
83 1.23414 5.15894 570.326 3.72341 1.43553 1.2923 7.35446e+08 4.74181e+09 3.02117e+07 50734.4 5562.96 1.07438e+06 1295.07 5.0099 4.53584e+13 0 0 101728 5.46403e+06 0.220361 11.836
84 1.2923 5.08072 541.437 3.64237 1.43834 1.35321 8.04034e+08 5.01587e+09 3.27835e+07 58170.4 5553 1.0731e+06 1483.74 5.0117 4.46095e+13 0 0 109353 5.68599e+06 0.216035 11.2331
85 1.35321 5.0007 513.286 3.55928 1.44141 1.41698 8.78901e+08 5.30075e+09 3.5559e+07 66692.2 5542.61 1.07176e+06 1699.74 5.01358 4.38347e+13 0 0 117438 5.90841e+06 0.211594 10.6455
86 1.41698 4.91897 485.902 3.47421 1.44476 1.48376 9.60608e+08 5.59646e+09 3.85525e+07 76457.4 5531.77 1.07036e+06 1946.98 5.01555 4.30341e+13 0 0 125997 6.13053e+06 0.20704 10.0738
87 1.48376 4.83558 459.311 3.38714 1.44844 1.55369 1.04976e+09 5.90294e+09 4.17792e+07 87646.4 5520.47 1.06891e+06 2229.95 5.0176 4.22067e+13 0 0 135038 6.35153e+06 0.202371 9.51857
88 1.55369 4.75083 433.536 3.2984 1.45243 1.62691 1.14701e+09 6.22014e+09 4.52551e+07 100466 5508.68 1.06738e+06 2553.77 5.01975 4.13548e+13 0 0 144581 6.57054e+06 0.197608 8.98037
89 1.62691 4.66489 408.597 3.20812 1.45677 1.70358 1.25308e+09 6.54794e+09 4.89975e+07 115151 5496.39 1.0658e+06 2924.27 5.02198 4.0479e+13 0 0 154640 6.78666e+06 0.192759 8.45959
90 1.70358 4.57794 384.51 3.11646 1.46148 1.78387 1.36874e+09 6.88617e+09 5.30245e+07 131973 5483.59 1.06414e+06 3348.13 5.02432 3.95799e+13 0 0 165225 6.99896e+06 0.187832 7.95658
91 1.78387 4.49016 361.288 3.02357 1.46659 1.86794 1.49481e+09 7.23463e+09 5.73553e+07 151241 5470.24 1.06241e+06 3832.95 5.02677 3.86582e+13 0 0 176346 7.20648e+06 0.182835 7.47165
92 1.86794 4.40169 338.942 2.92951 1.47217 1.95598 1.63221e+09 7.59309e+09 6.20103e+07 173306 5456.33 1.06061e+06 4387.38 5.02934 3.77135e+13 0 0 188003 7.40826e+06 0.17777 7.00502
93 1.95598 4.31265 317.478 2.83434 1.47832 2.04816 1.78191e+09 7.96123e+09 6.70113e+07 198574 5441.85 1.05873e+06 5021.35 5.03201 3.67453e+13 0 0 200188 7.6033e+06 0.172636 6.55686
94 2.04816 4.22332 296.899 2.73823 1.48509 2.14469 1.94497e+09 8.33873e+09 7.23811e+07 227504 5426.76 1.05677e+06 5746.1 5.03481 3.57544e+13 0 0 212897 7.79062e+06 0.167441 6.12724
95 2.14469 4.13413 277.206 2.64163 1.4925 2.24576 2.12253e+09 8.7252e+09 7.81447e+07 260625 5411.05 1.05473e+06 6574.5 5.03773 3.47447e+13 0 0 226151 7.96919e+06 0.162215 5.7162
96 2.24576 4.04546 258.396 2.54489 1.50057 2.3516 2.31582e+09 9.12019e+09 8.43287e+07 298537 5394.7 1.05261e+06 7521.18 5.04077 3.37189e+13 0 0 239963 8.13801e+06 0.156977 5.32368
97 2.3516 3.95764 240.463 2.44825 1.50939 2.46243 2.52616e+09 9.52324e+09 9.09622e+07 341930 5377.69 1.05039e+06 8602.8 5.04396 3.2679e+13 0 0 254338 8.2961e+06 0.151742 4.94957
98 2.46243 3.87091 223.399 2.35181 1.5191 2.57848 2.755e+09 9.93381e+09 9.80763e+07 391586 5359.99 1.04809e+06 9838.32 5.04729 3.16248e+13 0 0 269255 8.44249e+06 0.146507 4.59372
99 2.57848 3.78571 207.192 2.2559 1.52981 2.7 3.00386e+09 1.03513e+10 1.05705e+08 448404 5341.58 1.04569e+06 11249.4 5.05075 3.05593e+13 0 0 284721 8.57625e+06 0.141291 4.25589
100 2.7 3.7026 191.828 2.1611 1.5415 2.82725 3.27442e+09 1.07752e+10 1.13886e+08 513406 5322.43 1.04319e+06 12860.5 5.05438 2.94886e+13 0 0 300791 8.69643e+06 0.136131 3.93581
101 2.82725 3.62194 177.291 2.06762 1.55432 2.96049 3.56844e+09 1.12047e+10 1.22661e+08 587759 5302.53 1.04058e+06 14699.6 5.05818 2.84146e+13 0 0 317464 8.80218e+06 0.131035 3.63315
102 2.96049 3.5442 163.563 1.97574 1.56846 3.10001 3.88785e+09 1.16392e+10 1.32076e+08 672795 5281.85 1.03788e+06 16798.4 5.06213 2.734e+13 0 0 334753 8.89267e+06 0.126014 3.34754
103 3.10001 3.46994 150.623 1.88604 1.5839 3.24611 4.23471e+09 1.20779e+10 1.42183e+08 770032 5260.37 1.03506e+06 19193.1 5.06625 2.62719e+13 0 0 352752 8.96709e+06 0.121105 3.07854
104 3.24611 3.39963 138.449 1.79872 1.60091 3.3991 4.61121e+09 1.25201e+10 1.53041e+08 881202 5238.06 1.03213e+06 21924.5 5.07056 2.52126e+13 0 0 371473 9.02475e+06 0.116311 2.82572
105 3.3991 3.33384 127.016 1.7143 1.61954 3.55929 5.01972e+09 1.29649e+10 1.64716e+08 1.00828e+06 5214.91 1.02909e+06 25039.2 5.07507 2.41687e+13 0 0 391027 9.06496e+06 0.111661 2.58857
106 3.55929 3.27321 116.299 1.63302 1.64019 3.72704 5.46277e+09 1.34115e+10 1.77284e+08 1.15351e+06 5190.88 1.02592e+06 28589.9 5.07976 2.31434e+13 0 0 411450 9.08714e+06 0.107154 2.36658
107 3.72704 3.2187 106.268 1.55526 1.66344 3.90269 5.94307e+09 1.38589e+10 1.90836e+08 1.31945e+06 5165.95 1.02264e+06 32636.7 5.08463 2.21407e+13 0 0 432766 9.09078e+06 0.102789 2.15921
108 3.90269 3.17377 96.8747 1.48114 1.69263 4.08662 6.46349e+09 1.43061e+10 2.05487e+08 1.50903e+06 5140.1 1.01922e+06 37247 5.08974 2.11537e+13 0 0 454391 9.0756e+06 0.098429 1.96593
109 4.08662 3.13683 88.1167 1.41308 1.72374 4.27921 7.02712e+09 1.47522e+10 2.21365e+08 1.72556e+06 5113.31 1.01568e+06 42497.8 5.09508 2.02273e+13 0 0 477789 9.04077e+06 0.0943908 1.78607
110 4.27921 3.10307 79.9927 1.35094 1.75214 4.48088 7.63724e+09 1.51961e+10 2.38588e+08 1.97282e+06 5085.55 1.012e+06 48476.5 5.10061 1.93764e+13 0 0 504233 8.98577e+06 0.09085 1.61901
111 4.48088 3.07108 72.4726 1.29329 1.77779 4.69206 8.29734e+09 1.56372e+10 2.57278e+08 2.25511e+06 5056.81 1.00818e+06 55281.1 5.1064 1.85849e+13 0 0 533766 8.91051e+06 0.0877091 1.46419
112 4.69206 3.0398 65.526 1.23904 1.80076 4.91319 9.01114e+09 1.60744e+10 2.77562e+08 2.57731e+06 5027.05 1.00422e+06 63023.3 5.11244 1.78396e+13 0 0 566452 8.81503e+06 0.08489 1.32104
113 4.91319 3.00849 59.1227 1.18733 1.82116 5.14474 9.78258e+09 1.6507e+10 2.99573e+08 2.94498e+06 4996.26 1.00012e+06 71829.1 5.11871 1.71298e+13 0 0 602373 8.69944e+06 0.0823302 1.18901
114 5.14474 2.97664 53.2326 1.13752 1.83912 5.38721 1.06158e+10 1.6934e+10 3.23453e+08 3.36444e+06 4964.42 995867 81976.1 5.11678 1.64471e+13 0 0 641636 8.56395e+06 0.0799802 1.0675
115 5.38721 2.94396 47.8259 1.08913 1.85482 5.6411 1.15153e+10 1.73547e+10 3.4935e+08 3.84284e+06 4931.51 991460 93538.8 5.11451 1.5785e+13 0 0 684366 8.40887e+06 0.0778004 0.955941
116 5.6411 2.91028 42.8736 1.04182 1.86846 5.90696 1.24857e+10 1.77683e+10 3.77419e+08 4.38834e+06 4897.51 986898 106706 5.11215 1.51383e+13 0 0 730708 8.23457e+06 0.0757595 0.853757
117 5.90696 2.87559 38.3472 0.995358 1.88023 6.18534 1.3532e+10 1.81738e+10 4.07831e+08 5.01016e+06 4862.4 982176 121694 5.10971 1.45036e+13 0 0 780832 8.04153e+06 0.0738331 0.760383
118 6.18534 2.83993 34.2189 0.949594 1.89033 6.47685 1.46594e+10 1.85706e+10 4.40762e+08 5.71879e+06 4826.17 977290 138752 5.10717 1.38781e+13 0 0 834928 7.83029e+06 0.0720016 0.675261
119 6.47685 2.80341 30.462 0.904446 1.89897 6.78209 1.58732e+10 1.89579e+10 4.76407e+08 6.5261e+06 4788.8 972239 158156 5.10452 1.32602e+13 0 0 893212 7.60147e+06 0.0702503 0.597849
