#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MassBin
11 0.0448088 0.198301 0 0 0.198301 0.0469206 369741 0 934.332 0.0228619 52.7874 13028.2 0.0013787 2.13735 0 0 0 0 0 0 0 10
12 0.0469206 0.197335 0 0 0.197335 0.0491319 405117 0 1066.01 0.0262444 52.7744 13026 0.00158028 2.14045 0 0 0 0 0 0 0 10
13 0.0491319 0.19633 0 0 0.19633 0.0514474 443864 0 1209.65 0.0301271 52.7609 13023.8 0.00181119 2.1437 0 0 0 0 0 0 0 10
14 0.0514474 0.195285 0 0 0.195285 0.0538721 486299 0 1366.32 0.0345837 52.7467 13021.5 0.00207567 2.14711 0 0 0 0 0 0 0 10
15 0.0538721 0.1942 0 0 0.1942 0.056411 532771 0 1537.15 0.0396993 52.7319 13019 0.00237856 2.15068 0 0 0 0 0 0 0 10
16 0.056411 0.193073 0 0 0.193073 0.0590696 583661 0 1723.37 0.0455709 52.7164 13016.5 0.0027254 2.15442 0 0 0 0 0 0 0 10
17 0.0590696 0.191903 0 0 0.191903 0.0618534 639387 0 1926.32 0.0523104 52.7001 13013.8 0.00312254 2.15834 0 0 0 0 0 0 0 10
18 0.0618534 0.190688 0 0 0.190688 0.0647685 700403 0 2147.44 0.0600459 52.6832 13011 0.0035772 2.16244 0 0 0 0 0 0 0 10
19 0.0647685 0.189427 0 0 0.189427 0.0678209 767207 0 2388.29 0.0689244 52.6654 13008.1 0.00409762 2.16675 0 0 0 0 0 0 0 10
20 0.0678209 0.188119 0 0 0.188119 0.0710172 840345 0 2650.55 0.0791147 52.6468 13005 0.00469326 2.17127 0 0 0 0 0 0 0 10
21 0.0710172 0.186764 0 0 0.186764 0.0743642 920410 0 2936.05 0.0908104 52.6274 13001.8 0.00537489 2.17599 0 0 0 0 0 0 0 10
22 0.0743642 0.185359 0 0 0.185359 0.0778689 1.00805e+06 0 3246.74 0.104234 52.6071 12998.5 0.00615474 2.18097 0 0 0 0 0 0 0 10
23 0.0778689 0.183904 0 0 0.183904 0.0815387 1.10398e+06 0 3584.72 0.11964 52.5858 12995 0.00704692 2.18617 0 0 0 0 0 0 0 10
24 0.0815387 0.182397 0 0 0.182397 0.0853815 1.20897e+06 0 3952.28 0.13732 52.5636 12991.3 0.00806741 2.19163 0 0 0 0 0 0 0 10
25 0.0853815 0.180838 0 0 0.180838 0.0894054 1.32387e+06 0 4351.85 0.157612 52.5404 12987.5 0.00923435 2.19737 0 0 0 0 0 0 0 10
26 0.0894054 0.179225 0 0 0.179225 0.0936189 1.4496e+06 0 4786.06 0.180898 52.5161 12983.5 0.0105687 2.20337 0 0 0 0 0 0 0 10
27 0.0936189 0.177557 0 0 0.177557 0.0980311 1.58717e+06 0 5257.74 0.207622 52.4907 12979.3 0.0120941 2.20965 0 0 0 0 0 0 0 10
28 0.0980311 0.175834 0 0 0.175834 0.102651 1.73768e+06 0 5769.9 0.23829 52.4642 12974.9 0.0138375 2.21627 0 0 0 0 0 0 0 10
29 0.102651 0.174054 0 0 0.174054 0.107489 1.90234e+06 0 6325.79 0.273482 52.4364 12970.3 0.0158297 2.22319 0 0 0 0 0 0 0 10
30 0.107489 0.172217 0 0 0.172217 0.112555 2.08244e+06 0 6928.88 0.313866 52.4074 12965.6 0.0181056 2.23047 0 0 0 0 0 0 0 10
31 0.112555 0.170322 0 0 0.170322 0.117859 2.27942e+06 0 7582.88 0.360206 52.3771 12960.6 0.020705 2.23811 0 0 0 0 0 0 0 10
32 0.117859 0.168368 0 0 0.168368 0.123414 2.49484e+06 0 8291.75 0.413379 52.3454 12955.3 0.0236736 2.2461 0 0 0 0 0 0 0 10
33 0.123414 0.166355 0 0 0.166355 0.12923 2.73039e+06 0 9059.72 0.474392 52.3124 12949.9 0.0270624 2.25451 0 0 0 0 0 0 0 10
34 0.12923 0.164282 0 0 0.164282 0.135321 2.98792e+06 0 9891.28 0.544397 52.2778 12944.2 0.0309305 2.26332 0 0 0 0 0 0 0 10
35 0.135321 0.16215 0 0 0.16215 0.141698 3.26945e+06 0 10791.2 0.624719 52.2416 12938.2 0.0353439 2.27257 0 0 0 0 0 0 0 10
36 0.141698 0.159957 0 0 0.159957 0.148376 3.57717e+06 0 11764.7 0.716874 52.2039 12932 0.0403782 2.28229 0 0 0 0 0 0 0 10
37 0.148376 0.157704 0 0 0.157704 0.155369 3.91347e+06 0 12817 0.822602 52.1645 12925.5 0.046119 2.2925 0 0 0 0 0 0 0 10
38 0.155369 0.155391 0 0 0.155391 0.162691 4.28095e+06 0 13953.9 0.943898 52.1233 12918.7 0.0526642 2.3032 0 0 0 0 0 0 0 10
39 0.162691 0.153018 0 0 0.153018 0.170358 4.68244e+06 0 15181.5 1.08305 52.0803 12911.6 0.060123 2.31445 0 0 0 0 0 0 0 10
40 0.170358 0.150585 0 0 0.150585 0.178387 5.121e+06 0 16506.1 1.24268 52.0354 12904.1 0.0686207 2.32627 0 0 0 0 0 0 0 10
41 0.178387 0.148094 0 0 0.148094 0.186794 5.59999e+06 0 17934.5 1.4258 51.9886 12896.4 0.0782984 2.33868 0 0 0 0 0 0 0 10
42 0.186794 0.145544 0 0 0.145544 0.195598 6.12304e+06 0 19473.7 1.63584 51.9396 12888.3 0.0893171 2.35169 0 0 0 0 0 0 0 10
43 0.195598 0.142937 0 0 0.142937 0.204816 6.6941e+06 0 21131.2 1.87677 51.8886 12879.8 0.101856 2.36538 0 0 0 0 0 0 0 10
44 0.204816 0.140273 0 0 0.140273 0.214469 7.31744e+06 0 22914.8 2.15311 51.8353 12871 0.11612 2.37977 0 0 0 0 0 0 0 10
45 0.214469 0.137555 0 0 0.137555 0.224576 7.99773e+06 0 24832.5 2.47005 51.7797 12861.8 0.132339 2.3949 0 0 0 0 0 0 0 10
46 0.224576 0.134784 0 0 0.134784 0.23516 8.74002e+06 0 26892.8 2.83353 51.7217 12852.2 0.150775 2.41079 0 0 0 0 0 0 0 10
47 0.23516 0.131961 0 0 0.131961 0.246243 9.54976e+06 0 29104.7 3.25038 51.6612 12842.2 0.171719 2.42751 0 0 0 0 0 0 0 10
48 0.246243 0.129088 0 0 0.129088 0.257848 1.04329e+07 0 31477.1 3.72841 51.5981 12831.7 0.195504 2.44508 0 0 0 0 0 0 0 10
49 0.257848 0.126168 0 0 0.126168 0.27 1.13959e+07 0 34019.5 4.27655 51.5323 12820.8 0.222499 2.46358 0 0 0 0 0 0 0 10
50 0.27 0.123203 0 0 0.123203 0.282725 1.24456e+07 0 36741.8 4.90507 51.4637 12809.4 0.253128 2.483 0 0 0 0 0 0 0 10
51 0.282725 0.120195 0 0 0.120195 0.296049 1.35896e+07 0 39653.8 5.6257 51.3922 12797.6 0.287851 2.50348 0 0 0 0 0 0 0 10
52 0.296049 0.117149 0 0 0.117149 0.310001 1.48361e+07 0 42765.8 6.45189 51.3177 12785.2 0.327207 2.52499 0 0 0 0 0 0 0 10
53 0.310001 0.114066 0 0 0.114066 0.324611 1.61938e+07 0 46088.3 7.39906 51.2401 12772.3 0.37178 2.54765 0 0 0 0 0 0 0 10
54 0.324611 0.11095 0 0 0.11095 0.33991 1.76722e+07 0 49631.8 8.48483 51.1593 12758.9 0.422232 2.57151 0 0 0 0 0 0 0 10
55 0.33991 0.107804 0 0 0.107804 0.355929 1.92817e+07 0 53407 9.72942 51.0751 12744.9 0.479306 2.59664 0 0 0 0 0 0 0 10
56 0.355929 0.104633 0 0 0.104633 0.372704 2.10331e+07 0 57424.7 11.1559 50.9874 12730.3 0.543831 2.6231 0 0 0 0 0 0 0 10
57 0.372704 0.101441 0 0 0.101441 0.390269 2.29386e+07 0 61695.6 12.7909 50.8962 12715.1 0.616725 2.651 0 0 0 0 0 0 0 10
58 0.390269 0.0982311 0 0 0.0982311 0.408662 2.50108e+07 0 66230.4 14.6645 50.8012 12699.3 0.699026 2.68038 0 0 0 0 0 0 0 10
59 0.408662 0.0950082 0 0 0.0950082 0.427921 2.72637e+07 0 71039.6 16.8116 50.7025 12682.8 0.791883 2.71134 0 0 0 0 0 0 0 10
60 0.427921 0.0917769 0 0 0.0917769 0.448088 2.9712e+07 0 76133.3 19.2718 50.5997 12665.7 0.896559 2.744 0 0 0 0 0 0 0 10
61 0.448088 0.0885418 0 0 0.0885418 0.469206 3.23717e+07 0 81521.7 22.0904 50.4929 12647.8 1.01448 2.77845 0 0 0 0 0 0 0 10
62 0.469206 0.0853078 0 0 0.0853078 0.491319 3.526e+07 0 87214.1 25.3196 50.3818 12629.3 1.14721 2.81479 0 0 0 0 0 0 0 10
63 0.491319 0.0820798 0 0 0.0820798 0.514474 3.83952e+07 0 93219.5 29.0187 50.2665 12610 1.29649 2.85315 0 0 0 0 0 0 0 10
64 0.514474 0.078863 0 0 0.078863 0.538721 4.1797e+07 0 99546.2 33.2557 50.1466 12589.9 1.46424 2.89365 0 0 0 0 0 0 0 10
65 0.538721 0.0756625 0 0 0.0756625 0.56411 4.54865e+07 0 106202 38.1083 50.0221 12569.1 1.63078 2.97565 0 0 0 0 0 0 0 10
66 0.56411 0.0724834 0 0 0.0724834 0.590696 4.94861e+07 0 113193 43.6655 49.8929 12547.5 1.81317 3.06489 0 0 0 0 0 0 0 10
67 0.590696 0.069331 0 0 0.069331 0.618534 5.38199e+07 0 120525 50.0288 49.7588 12525 2.01334 3.16059 0 0 0 0 0 0 0 10
68 0.618534 0.0662105 0 0 0.0662105 0.647685 5.85137e+07 0 128203 57.3145 49.6198 12501.6 2.23257 3.26336 0 0 0 0 0 0 0 10
69 0.647685 0.0631271 0 0 0.0631271 0.678209 6.35946e+07 0 136229 65.6553 49.4755 12477.4 2.47229 3.3737 0 0 0 0 0 0 0 10
70 0.678209 0.0600859 0 0 0.0600859 0.710172 6.90919e+07 0 144606 75.2028 49.3261 12452.2 2.73383 3.49237 0 0 0 0 0 0 0 10
71 0.710172 0.0570921 0 0 0.0570921 0.743642 7.50364e+07 0 153333 86.1305 49.1712 12426.1 3.01852 3.62019 0 0 0 0 0 0 0 10
72 0.743642 0.0541505 0 0 0.0541505 0.778689 8.1461e+07 0 162410 98.6361 49.0108 12399.1 3.32783 3.75791 0 0 0 0 0 0 0 10
73 0.778689 0.0512659 0 0 0.0512659 0.815387 8.84006e+07 0 171832 112.946 48.8447 12371.1 3.66304 3.90653 0 0 0 0 0 0 0 10
74 0.815387 0.0484431 0 0 0.0484431 0.853815 9.58919e+07 0 181594 129.318 48.6729 12342.1 4.02558 4.06701 0 0 0 0 0 0 0 10
75 0.853815 0.0456863 0 0 0.0456863 0.894054 1.03974e+08 0 191688 148.047 48.4952 12312 4.4166 4.24059 0 0 0 0 0 0 0 10
76 0.894054 0.0429999 0 0 0.0429999 0.936189 1.12688e+08 0 202106 169.469 48.3115 12280.9 4.83736 4.42851 0 0 0 0 0 0 0 10
77 0.936189 0.0403876 0 0 0.0403876 0.980311 1.22077e+08 0 212835 193.969 48.1217 12248.7 5.28889 4.63225 0 0 0 0 0 0 0 10
78 0.980311 0.0378533 0 0 0.0378533 1.02651 1.32188e+08 0 223861 221.983 47.9257 12215.4 5.77216 4.8534 0 0 0 0 0 0 0 10
79 1.02651 0.0354003 0 0 0.0354003 1.07489 1.43067e+08 0 235167 254.013 47.7234 12181 6.28789 5.0938 0 0 0 0 0 0 0 10
80 1.07489 0.0330315 0 0 0.0330315 1.12555 1.54765e+08 0 246734 290.626 47.5147 12145.5 6.8368 5.35539 0 0 0 0 0 0 0 10
81 1.12555 0.0307497 0 0 0.0307497 1.17859 1.67336e+08 0 258541 332.474 47.2995 12108.8 7.41919 5.64048 0 0 0 0 0 0 0 10
82 1.17859 0.0285571 0 0 0.0285571 1.23414 1.80833e+08 0 270565 380.296 47.0778 12070.9 8.03522 5.95161 0 0 0 0 0 0 0 10
83 1.23414 0.0264557 0 0 0.0264557 1.2923 1.95314e+08 0 282778 434.938 46.8495 12031.9 8.68477 6.29162 0 0 0 0 0 0 0 10
84 1.2923 0.0244471 0 0 0.0244471 1.35321 2.1084e+08 0 295152 497.36 46.6145 11991.6 9.36745 6.6637 0 0 0 0 0 0 0 10
85 1.35321 0.0225322 0 0 0.0225322 1.41698 2.27472e+08 0 307658 568.658 46.3728 11950.1 10.0823 7.07159 0 0 0 0 0 0 0 10
86 1.41698 0.0207119 0 0 0.0207119 1.48376 2.45274e+08 0 320263 650.08 46.1243 11907.4 10.8284 7.51934 0 0 0 0 0 0 0 10
87 1.48376 0.0189864 0 0 0.0189864 1.55369 2.64314e+08 0 332932 743.049 45.8691 11863.4 11.6044 8.01151 0 0 0 0 0 0 0 10
88 1.55369 0.0173556 0 0 0.0173556 1.62691 2.84659e+08 0 345630 849.181 45.6071 11818.2 12.4081 8.55344 0 0 0 0 0 0 0 10
89 1.62691 0.0158189 0 0 0.0158189 1.70358 3.06382e+08 0 358321 970.32 45.3383 11771.7 13.2375 9.15114 0 0 0 0 0 0 0 10
90 1.70358 0.0143755 0 0 0.0143755 1.78387 3.29554e+08 0 370966 1108.56 45.0628 11724 14.0897 9.8114 0 0 0 0 0 0 0 10
91 1.78387 0.013024 0 0 0.013024 1.86794 3.5425e+08 0 383528 1266.29 44.7805 11675 14.9621 10.5417 0 0 0 0 0 0 0 10
92 1.86794 0.0117626 0 0 0.0117626 1.95598 3.80547e+08 0 395968 1446.21 44.4915 11624.7 15.8508 11.3512 0 0 0 0 0 0 0 10
93 1.95598 0.0105893 0 0 0.0105893 2.04816 4.08522e+08 0 408247 1651.42 44.1959 11573.1 16.7522 12.2497 0 0 0 0 0 0 0 10
94 2.04816 0.00950171 0 0 0.00950171 2.14469 4.38254e+08 0 420328 1885.42 43.8938 11520.3 17.6624 13.2486 0 0 0 0 0 0 0 10
95 2.14469 0.00849711 0 0 0.00849711 2.24576 4.69824e+08 0 432174 2152.2 43.5851 11466.3 18.5765 14.3612 0 0 0 0 0 0 0 10
96 2.24576 0.00757252 0 0 0.00757252 2.3516 5.03312e+08 0 443750 2456.29 43.2701 11410.9 19.4903 15.6022 0 0 0 0 0 0 0 10
97 2.3516 0.00672469 0 0 0.00672469 2.46243 5.388e+08 0 455021 2802.84 42.9489 11354.4 20.3989 16.9887 0 0 0 0 0 0 0 10
98 2.46243 0.00595018 0 0 0.00595018 2.57848 5.7637e+08 0 465957 3197.71 42.6216 11296.6 21.2967 18.541 0 0 0 0 0 0 0 10
99 2.57848 0.00524537 0 0 0.00524537 2.7 6.16105e+08 0 476527 3647.52 42.2883 11237.7 22.179 20.2812 0 0 0 0 0 0 0 10
100 2.7 0.0046065 0 0 0.0046065 2.82725 6.58087e+08 0 486705 4159.84 41.9492 11177.5 22.4983 22.7714 0 0 0 0 0 0 0 10
101 2.82725 0.00402972 0 0 0.00402972 2.96049 7.02396e+08 0 496468 4743.23 41.6045 11116.2 22.5261 25.8982 0 0 0 0 0 0 0 10
102 2.96049 0.00351112 0 0 0.00351112 3.10001 7.49115e+08 0 505795 5407.4 41.2544 11053.8 22.4795 29.5461 0 0 0 0 0 0 0 10
103 3.10001 0.00304676 0 0 0.00304676 3.24611 7.98322e+08 0 514670 6163.42 40.8991 10990.2 22.3595 33.8118 0 0 0 0 0 0 0 10
104 3.24611 0.00263273 0 0 0.00263273 3.3991 8.50096e+08 0 523078 7023.79 40.5389 10925.6 22.1668 38.8136 0 0 0 0 0 0 0 10
105 3.3991 0.00226515 0 0 0.00226515 3.55929 9.04514e+08 0 531011 8002.74 40.1739 10859.9 21.9043 44.692 0 0 0 0 0 0 0 10
106 3.55929 0.00194026 0 0 0.00194026 3.72704 9.61651e+08 0 538461 9116.39 39.8045 10793.2 21.5754 51.6166 0 0 0 0 0 0 0 10
107 3.72704 0.00165436 0 0 0.00165436 3.90269 1.02158e+09 0 545426 10383 39.4309 10725.6 21.1834 59.7938 0 0 0 0 0 0 0 10
108 3.90269 0.00140393 0 0 0.00140393 4.08662 1.08437e+09 0 551907 11823.4 39.0534 10657 20.7334 69.4711 0 0 0 0 0 0 0 10
109 4.08662 0.00118558 0 0 0.00118558 4.27921 1.15008e+09 0 557908 13461 38.6723 10587.6 20.2298 80.9514 0 0 0 0 0 0 0 10
110 4.27921 0.000996121 0 0 0.000996121 4.48088 1.21879e+09 0 563437 15322.6 38.2878 10517.3 19.6781 94.6006 0 0 0 0 0 0 0 10
111 4.48088 0.000832527 0 0 0.000832527 4.69206 1.29055e+09 0 568504 17438.3 37.9003 10446.2 19.0844 110.861 0 0 0 0 0 0 0 10
112 4.69206 0.000691981 0 0 0.000691981 4.91319 1.36541e+09 0 573121 19842.5 37.5102 10374.4 18.4547 130.274 0 0 0 0 0 0 0 10
113 4.91319 0.000571865 0 0 0.000571865 5.14474 1.44344e+09 0 577305 22573.9 37.1177 10301.9 17.7951 153.496 0 0 0 0 0 0 0 10
114 5.14474 0.000469765 0 0 0.000469765 5.38721 1.52467e+09 0 581074 25676.7 36.7231 10228.8 17.1117 181.327 0 0 0 0 0 0 0 10
115 5.38721 0.000383468 0 0 0.000383468 5.6411 1.60916e+09 0 584447 29200.8 36.3269 10155 16.4102 214.748 0 0 0 0 0 0 0 10
116 5.6411 0.000310958 0 0 0.000310958 5.90696 1.69694e+09 0 587446 33202.7 35.9293 10080.8 15.6962 254.958 0 0 0 0 0 0 0 10
117 5.90696 0.000250408 0 0 0.000250408 6.18534 1.78804e+09 0 590094 37746.5 35.5307 10006.1 14.976 303.406 0 0 0 0 0 0 0 10
118 6.18534 0.000200175 0 0 0.000200175 6.47685 1.88251e+09 0 592416 42904.8 35.1314 9931.01 16.7025 308.837 0 0 0 0 0 0 0 10
119 6.47685 0.000158786 0 0 0.000158786 6.78209 1.98035e+09 0 594434 48760.1 34.7318 9855.56 18.8867 310.017 0 0 0 0 0 0 0 10
120 6.78209 0.000124932 0 0 0.000124932 7.10172 2.0816e+09 0 596176 55405.4 34.3322 9779.82 21.3529 311.215 0 0 0 0 0 0 0 10
121 7.10172 9.74535e-05 0 0 9.74535e-05 7.43642 2.18626e+09 0 597666 62946.5 33.933 9703.85 24.137 312.431 0 0 0 0 0 0 0 10
122 7.43642 7.53322e-05 0 0 7.53322e-05 7.78689 2.29436e+09 0 598929 71503.2 33.5344 9627.72 27.2798 313.664 0 0 0 0 0 0 0 10
123 7.78689 5.76774e-05 0 0 5.76774e-05 8.15387 2.40588e+09 0 599989 81211.2 33.1369 9551.47 30.8273 314.913 0 0 0 0 0 0 0 10
124 8.15387 4.37164e-05 0 0 4.37164e-05 8.53815 2.52084e+09 0 600870 92224.1 32.7407 9475.19 34.8314 316.179 0 0 0 0 0 0 0 10
125 8.53815 3.27838e-05 0 0 3.27838e-05 8.94054 2.63923e+09 0 601594 104716 32.3461 9398.91 39.3505 317.459 0 0 0 0 0 0 0 10
126 8.94054 2.4311e-05 0 0 2.4311e-05 9.36189 2.76104e+09 0 602183 118885 31.9535 9322.7 44.4507 318.754 0 0 0 0 0 0 0 10
127 9.36189 1.78162e-05 0 0 1.78162e-05 9.80311 2.88626e+09 0 602656 134954 31.5632 9246.63 50.2067 320.062 0 0 0 0 0 0 0 10
128 9.80311 1.28951e-05 0 0 1.28951e-05 10.2651 3.01487e+09 0 603032 153178 31.1754 9170.74 56.7027 321.384 0 0 0 0 0 0 0 10
129 10.2651 9.212e-06 0 0 9.212e-06 10.7489 3.14684e+09 0 603326 173843 30.7905 9095.1 64.0338 322.718 0 0 0 0 0 0 0 10
130 10.7489 6.49097e-06 0 0 6.49097e-06 11.2555 3.28215e+09 0 603553 197275 30.4087 9019.75 72.3076 324.063 0 0 0 0 0 0 0 10
131 11.2555 4.50805e-06 0 0 4.50805e-06 11.7859 3.42077e+09 0 603726 223844 30.0302 8944.75 81.6454 325.418 0 0 0 0 0 0 0 10
132 11.7859 3.08373e-06 0 0 3.08373e-06 12.3414 3.56267e+09 0 603856 253968 29.6554 8870.17 92.1846 326.784 0 0 0 0 0 0 0 10
133 12.3414 2.07608e-06 0 0 2.07608e-06 12.923 3.7078e+09 0 603952 288123 29.2844 8796.03 104.08 328.158 0 0 0 0 0 0 0 10
134 12.923 1.37452e-06 0 0 1.37452e-06 13.5321 3.85613e+09 0 604022 326846 28.9174 8722.4 117.508 329.54 0 0 0 0 0 0 0 10
135 13.5321 8.94214e-07 0 0 8.94214e-07 14.1698 4.00761e+09 0 604071 370749 28.5548 8649.33 132.666 330.929 0 0 0 0 0 0 0 10
136 14.1698 5.71144e-07 0 0 5.71144e-07 14.8376 4.16219e+09 0 604106 420525 28.1966 8576.85 149.779 332.325 0 0 0 0 0 0 0 10
137 14.8376 3.5783e-07 0 0 3.5783e-07 15.5369 4.31983e+09 0 604130 476958 27.8431 8505.01 169.1 333.725 0 0 0 0 0 0 0 10
138 15.5369 2.19701e-07 0 0 2.19701e-07 16.2691 4.48048e+09 0 604146 540940 27.4944 8433.85 190.918 335.13 0 0 0 0 0 0 0 10
139 16.2691 1.32067e-07 0 0 1.32067e-07 17.0358 4.64407e+09 0 604157 613483 27.1507 8363.41 215.557 336.538 0 0 0 0 0 0 0 10
140 17.0358 7.76463e-08 0 0 7.76463e-08 17.8387 4.81055e+09 0 604163 695735 26.8121 8293.74 243.386 337.949 0 0 0 0 0 0 0 10
141 17.8387 4.46023e-08 0 0 4.46023e-08 18.6794 4.97986e+09 0 604168 788999 26.4788 8224.86 274.822 339.361 0 0 0 0 0 0 0 10
142 18.6794 2.50048e-08 0 0 2.50048e-08 19.5598 5.15196e+09 0 604170 894754 26.1508 8156.8 310.338 340.774 0 0 0 0 0 0 0 10
143 19.5598 1.36654e-08 0 0 1.36654e-08 20.4816 5.32676e+09 0 604172 1.01468e+06 25.8283 8089.6 350.469 342.186 0 0 0 0 0 0 0 10
144 20.4816 7.27153e-09 0 0 7.27153e-09 21.4469 5.50422e+09 0 604173 1.15068e+06 25.5114 8023.29 395.822 343.597 0 0 0 0 0 0 0 10
145 21.4469 3.76264e-09 0 0 3.76264e-09 22.4576 5.68426e+09 0 604173 1.30493e+06 25.2001 7957.89 447.086 345.006 0 0 0 0 0 0 0 10
146 22.4576 1.89082e-09 0 0 1.89082e-09 23.516 5.86684e+09 0 604174 1.47988e+06 24.8946 7893.44 505.041 346.412 0 0 0 0 0 0 0 10
147 23.516 9.21513e-10 0 0 9.21513e-10 24.6243 6.05187e+09 0 604174 1.67834e+06 24.5948 7829.93 570.573 347.814 0 0 0 0 0 0 0 10
148 24.6243 4.34932e-10 0 0 4.34932e-10 25.7848 6.23931e+09 0 604174 1.90347e+06 24.3008 7767.41 644.686 349.211 0 0 0 0 0 0 0 10
149 25.7848 1.98498e-10 0 0 1.98498e-10 27 6.42908e+09 0 604174 2.15889e+06 24.0127 7705.89 728.519 350.602 0 0 0 0 0 0 0 10
150 27 8.74623e-11 0 0 8.74623e-11 28.2725 6.62111e+09 0 604174 2.4487e+06 23.7304 7645.38 823.367 351.987 0 0 0 0 0 0 0 10
151 28.2725 3.71452e-11 0 0 3.71452e-11 29.6049 6.81536e+09 0 604174 2.77758e+06 23.454 7585.9 930.7 353.364 0 0 0 0 0 0 0 10
152 29.6049 1.51793e-11 0 0 1.51793e-11 31.0001 7.01175e+09 0 604174 3.15082e+06 23.1835 7527.47 1052.19 354.733 0 0 0 0 0 0 0 10
153 31.0001 5.95777e-12 0 0 5.95777e-12 32.4611 7.21021e+09 0 604174 3.57448e+06 22.9189 7470.08 1189.72 356.093 0 0 0 0 0 0 0 10
154 32.4611 2.24172e-12 0 0 2.24172e-12 33.991 7.4107e+09 0 604174 4.0554e+06 22.6601 7413.75 1345.46 357.444 0 0 0 0 0 0 0 10
155 33.991 8.0702e-13 0 0 8.0702e-13 35.5929 7.61314e+09 0 604174 4.60142e+06 22.4072 7358.48 1521.85 358.783 0 0 0 0 0 0 0 10
156 35.5929 2.77394e-13 0 0 2.77394e-13 37.2704 7.81747e+09 0 604174 5.22141e+06 22.1602 7304.29 1721.67 360.112 0 0 0 0 0 0 0 10
157 37.2704 9.08402e-14 0 0 9.08402e-14 39.0269 8.02364e+09 0 604174 5.92551e+06 21.9189 7251.17 1948.1 361.428 0 0 0 0 0 0 0 10
158 39.0269 2.82778e-14 0 0 2.82778e-14 40.8662 8.23158e+09 0 604174 6.72523e+06 21.6833 7199.13 2204.73 362.732 0 0 0 0 0 0 0 10
159 40.8662 8.34772e-15 0 0 8.34772e-15 42.7921 8.44123e+09 0 604174 7.63371e+06 21.4535 7148.16 2495.65 364.023 0 0 0 0 0 0 0 10
160 42.7921 2.33114e-15 0 0 2.33114e-15 44.8088 8.65255e+09 0 604174 8.66588e+06 21.2293 7098.27 2825.53 365.3 0 0 0 0 0 0 0 10
161 44.8088 6.14212e-16 0 0 6.14212e-16 46.9206 8.86547e+09 0 604174 9.83876e+06 21.0106 7049.45 3199.68 366.563 0 0 0 0 0 0 0 10
162 46.9206 1.52277e-16 0 0 1.52277e-16 49.1319 9.07993e+09 0 604174 1.11717e+07 20.7975 7001.71 3624.12 367.811 0 0 0 0 0 0 0 10
163 49.1319 3.54228e-17 0 0 3.54228e-17 51.4474 9.29589e+09 0 604174 1.26869e+07 20.5899 6955.02 4105.74 369.043 0 0 0 0 0 0 0 10
164 51.4474 7.70841e-18 0 0 7.70841e-18 53.8721 9.51329e+09 0 604174 1.44095e+07 20.3876 6909.4 4652.38 370.26 0 0 0 0 0 0 0 10
165 53.8721 1.56431e-18 0 0 1.56431e-18 56.411 9.73207e+09 0 604174 1.63682e+07 20.1906 6864.82 5272.95 371.46 0 0 0 0 0 0 0 10
