#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin SDensityColdAcc
24 0.0815387 0 1387.74 0 0 0.0853815 3.40718e+06 2.94306e+07 0 64045.1 1.91922e+07 90833.8 9.87653e+06 3.02593e-06 8.22923e+14 0 0 375.817 14977.3 0.186496 7.43237 inf 0.00535573 12 1.56167e+14
25 0.0853815 0 1381.16 0 0 0.0894054 3.73514e+06 3.24824e+07 0 71206.2 1.85423e+07 93384.4 1.04627e+07 3.23637e-06 8.21807e+14 0 0 411.516 16385.5 0.186243 7.4157 inf 0.00536919 12 1.56011e+14
26 0.0894054 0 1374.36 0 0 0.0936189 4.09464e+06 3.58121e+07 0 79149.3 1.79132e+07 96001.8 1.10829e+07 3.4615e-06 8.2064e+14 0 0 450.578 17924.2 0.185979 7.39833 inf 0.00538309 12 1.55848e+14
27 0.0936189 0 1367.36 0 0 0.0980311 4.48868e+06 3.94445e+07 0 87959 1.7304e+07 98687.6 1.17389e+07 3.70235e-06 8.19419e+14 0 0 493.314 19605.4 0.185702 7.38021 inf 0.00539743 12 1.55677e+14
28 0.0980311 0 1360.13 0 0 0.102651 4.9206e+06 4.34062e+07 0 97729.2 1.67143e+07 101443 1.24328e+07 4.00038e-06 8.18143e+14 0 0 540.066 21441.9 0.185413 7.36133 inf 0.00541224 12 1.55498e+14
29 0.102651 0 1352.67 0 0 0.107489 5.39402e+06 4.77263e+07 0 108564 1.61434e+07 104270 1.31666e+07 4.23299e-06 8.16809e+14 0 0 591.205 23447.7 0.185111 7.34166 inf 0.00542752 12 1.55311e+14
30 0.107489 0 1344.99 0 0 0.112555 5.91291e+06 5.24364e+07 0 120578 1.55908e+07 107171 1.39427e+07 4.47931e-06 8.15415e+14 0 0 647.136 25638.1 0.184795 7.32116 inf 0.00544327 12 1.55116e+14
31 0.112555 0 1337.08 0 0 0.117859 6.48165e+06 5.75705e+07 0 133898 1.50558e+07 110145 1.47633e+07 4.74012e-06 8.13957e+14 0 0 708.302 28029.7 0.184464 7.29981 inf 0.00545952 12 1.54911e+14
32 0.117859 0 1328.93 0 0 0.123414 7.10501e+06 6.31656e+07 0 148666 1.45379e+07 113196 1.56308e+07 5.07624e-06 8.12433e+14 0 0 775.184 30640.3 0.184119 7.27758 inf 0.00547627 12 1.54698e+14
33 0.123414 0 1320.54 0 0 0.12923 7.78821e+06 6.92618e+07 0 165037 1.40367e+07 116325 1.6548e+07 5.31395e-06 8.10841e+14 0 0 848.307 33489.6 0.183758 7.25442 inf 0.00549354 12 1.54474e+14
34 0.12923 0 1311.9 0 0 0.135321 8.53699e+06 7.59024e+07 0 183184 1.35516e+07 119534 1.75174e+07 5.56314e-06 8.09176e+14 0 0 928.24 36598.6 0.183381 7.23032 inf 0.00551133 12 1.5424e+14
35 0.135321 0 1303.02 0 0 0.141698 9.35762e+06 8.31344e+07 0 203298 1.3082e+07 122823 1.85419e+07 5.82441e-06 8.07437e+14 0 0 1015.61 39990.3 0.182987 7.20524 inf 0.00552966 12 1.53996e+14
36 0.141698 0 1293.88 0 0 0.148376 1.0257e+07 9.10084e+07 0 225589 1.26276e+07 126196 1.96245e+07 6.14868e-06 8.0562e+14 0 0 1111.09 43689.6 0.182575 7.17913 inf 0.00554854 12 1.53741e+14
37 0.148376 0 1284.48 0 0 0.155369 1.12426e+07 9.95795e+07 0 250291 1.21878e+07 129653 2.07685e+07 6.43982e-06 8.03722e+14 0 0 1215.41 47723.5 0.182145 7.15197 inf 0.00556798 12 1.53474e+14
38 0.155369 0 1274.83 0 0 0.162691 1.23228e+07 1.08907e+08 0 277663 1.17622e+07 133196 2.1977e+07 6.74525e-06 8.01739e+14 0 0 1329.38 52121.1 0.181695 7.12373 inf 0.00558798 12 1.53195e+14
39 0.162691 0 1264.91 0 0 0.170358 1.35064e+07 1.19055e+08 0 307990 1.13504e+07 136827 2.32536e+07 7.06565e-06 7.99667e+14 0 0 1453.87 56914.1 0.181226 7.09436 inf 0.00560857 12 1.52903e+14
40 0.170358 0 1254.73 0 0 0.178387 1.48035e+07 1.30092e+08 0 341587 1.09519e+07 140548 2.46019e+07 7.4018e-06 7.97504e+14 0 0 1589.83 62136.7 0.180735 7.06385 inf 0.00562975 12 1.52598e+14
41 0.178387 0 1244.29 0 0 0.186794 1.62249e+07 1.42093e+08 0 378804 1.05663e+07 144360 2.60257e+07 7.75196e-06 7.95244e+14 0 0 1738.27 67825.6 0.180223 7.03213 inf 0.00565154 12 1.5228e+14
42 0.186794 0 1233.57 0 0 0.195598 1.77824e+07 1.55139e+08 0 420026 1.01932e+07 148265 2.7529e+07 8.12193e-06 7.92885e+14 0 0 1900.32 74020.8 0.179689 6.99918 inf 0.00567394 12 1.51947e+14
43 0.195598 0 1222.57 0 0 0.204816 1.9489e+07 1.69316e+08 0 465679 9.83227e+06 152265 2.91161e+07 8.51023e-06 7.90423e+14 0 0 2077.19 80765.2 0.179131 6.96495 inf 0.00569696 12 1.51599e+14
44 0.204816 0 1211.3 0 0 0.214469 2.1359e+07 1.84717e+08 0 516234 9.48308e+06 156362 3.07914e+07 8.91777e-06 7.87852e+14 0 0 2270.19 88105.3 0.178548 6.9294 inf 0.00572061 12 1.51236e+14
45 0.214469 0 1199.76 0 0 0.224576 2.34078e+07 2.01443e+08 0 572211 9.14528e+06 160557 3.25594e+07 9.51727e-06 7.85169e+14 0 0 2480.73 96091.1 0.17794 6.8925 inf 0.0057449 12 1.50856e+14
46 0.224576 0 1187.93 0 0 0.23516 2.56525e+07 2.19603e+08 0 634185 8.81852e+06 164852 3.44251e+07 1.00252e-05 7.82369e+14 0 0 2710.37 104776 0.177305 6.8542 inf 0.00576985 12 1.5046e+14
47 0.23516 0 1175.83 0 0 0.246243 2.81118e+07 2.39311e+08 0 702791 8.50244e+06 169249 3.63935e+07 1.0561e-05 7.79447e+14 0 0 2960.77 114219 0.176643 6.81446 inf 0.00579547 12 1.50046e+14
48 0.246243 0 1163.44 0 0 0.257848 3.08061e+07 2.60693e+08 0 778728 8.19673e+06 173750 3.84698e+07 1.11262e-05 7.764e+14 0 0 3233.72 124481 0.175953 6.77324 inf 0.00582176 12 1.49614e+14
49 0.257848 0 1150.77 0 0 0.27 3.37577e+07 2.83883e+08 0 862771 7.90105e+06 178356 4.06597e+07 1.18263e-05 7.73221e+14 0 0 3531.19 135630 0.175232 6.73053 inf 0.00584874 12 1.49162e+14
50 0.27 0 1137.81 0 0 0.282725 3.6991e+07 3.09023e+08 0 955773 7.6151e+06 183069 4.2969e+07 1.25292e-05 7.69907e+14 0 0 3855.28 147738 0.174481 6.68628 inf 0.00587643 12 1.48691e+14
51 0.282725 0 1124.58 0 0 0.296049 4.05329e+07 3.36269e+08 0 1.05868e+06 7.33857e+06 187891 4.54037e+07 1.32747e-05 7.66451e+14 0 0 4208.25 160880 0.173698 6.64044 inf 0.00590483 12 1.482e+14
52 0.296049 0 1111.06 0 0 0.310001 4.44124e+07 3.65784e+08 0 1.17252e+06 7.07116e+06 192823 4.79701e+07 1.40654e-05 7.62849e+14 0 0 4592.57 175140 0.172882 6.59295 inf 0.00593395 12 1.47687e+14
53 0.310001 0 1097.25 0 0 0.324611 4.86618e+07 3.97744e+08 0 1.29845e+06 6.8126e+06 197867 5.06749e+07 1.4904e-05 7.59094e+14 0 0 5010.87 190606 0.172031 6.54379 inf 0.0059638 12 1.47151e+14
54 0.324611 0 1083.16 0 0 0.33991 5.33159e+07 4.32338e+08 0 1.43773e+06 6.56261e+06 203025 5.3525e+07 1.61408e-05 7.55183e+14 0 0 5465.99 207370 0.171144 6.49291 inf 0.00599439 12 1.46593e+14
55 0.33991 0 1068.79 0 0 0.355929 5.8413e+07 4.69767e+08 0 1.59176e+06 6.32092e+06 208298 5.65275e+07 1.74597e-05 7.51108e+14 0 0 5961.01 225533 0.170221 6.44027 inf 0.00602574 12 1.4601e+14
56 0.355929 0 1054.15 0 0 0.372704 6.3995e+07 5.10244e+08 0 1.76207e+06 6.08727e+06 213688 5.96901e+07 1.88863e-05 7.46864e+14 0 0 6499.18 245204 0.169259 6.38589 inf 0.00605788 12 1.45403e+14
57 0.372704 0 1039.22 0 0 0.390269 7.01078e+07 5.53997e+08 0 1.95035e+06 5.86141e+06 219196 6.30205e+07 2.04292e-05 7.42446e+14 0 0 7084.06 266495 0.168258 6.32969 inf 0.0060908 12 1.44769e+14
58 0.390269 0 1024.01 0 0 0.408662 7.68013e+07 6.0127e+08 0 2.15848e+06 5.64309e+06 224824 6.65269e+07 2.22982e-05 7.37847e+14 0 0 7719.4 289525 0.167216 6.27161 inf 0.00612453 12 1.44109e+14
59 0.408662 0 1008.51 0 0 0.427921 8.41303e+07 6.52319e+08 0 2.38851e+06 5.43209e+06 230573 7.02177e+07 2.54972e-05 7.33061e+14 0 0 8409.25 314420 0.166131 6.21161 inf 0.0061592 12 1.43421e+14
60 0.427921 0 992.728 0 0 0.448088 9.21546e+07 7.07417e+08 0 2.6427e+06 5.22817e+06 236445 7.41019e+07 2.91483e-05 7.28082e+14 0 0 9157.94 341317 0.165003 6.14967 inf 0.00619471 12 1.42704e+14
61 0.448088 0 976.682 0 0 0.469206 1.0094e+08 7.66855e+08 0 2.92356e+06 5.0311e+06 242441 7.81885e+07 3.33141e-05 7.22905e+14 0 0 9970.07 370358 0.163829 6.08576 inf 0.00623105 12 1.41956e+14
62 0.469206 0 960.377 0 0 0.491319 1.10557e+08 8.30938e+08 0 3.23381e+06 4.84068e+06 248562 8.24872e+07 3.80658e-05 7.17522e+14 0 0 10850.6 401691 0.162609 6.01985 inf 0.00626822 12 1.41178e+14
63 0.491319 0 943.819 0 0 0.514474 1.21084e+08 8.99993e+08 0 3.5765e+06 4.6567e+06 254810 8.70077e+07 4.462e-05 7.11928e+14 0 0 11804.7 435476 0.161342 5.95193 inf 0.00630622 12 1.40368e+14
64 0.514474 0 927.012 0 0 0.538721 1.32606e+08 9.74362e+08 0 3.95493e+06 4.47895e+06 261185 9.17605e+07 5.3276e-05 7.06116e+14 0 0 12837.9 471877 0.160025 5.88196 inf 0.00634508 12 1.39525e+14
65 0.538721 0 909.963 0 0 0.56411 1.45217e+08 1.05441e+09 0 4.37278e+06 4.30724e+06 267689 9.67561e+07 6.35816e-05 7.0008e+14 0 0 13956.1 511066 0.158657 5.80993 inf 0.00638479 12 1.38647e+14
66 0.56411 0 892.68 0 0 0.590696 1.59018e+08 1.14051e+09 0 4.83405e+06 4.14137e+06 274322 1.02006e+08 7.58433e-05 6.93814e+14 0 0 15165.6 553224 0.157237 5.73581 inf 0.00642538 12 1.37734e+14
67 0.590696 0 875.173 0 0 0.618534 1.7412e+08 1.23306e+09 0 5.34318e+06 3.98117e+06 281085 1.0752e+08 9.0425e-05 6.87312e+14 0 0 16472.9 598541 0.155763 5.65962 inf 0.00646686 12 1.36784e+14
68 0.618534 0 857.453 0 0 0.647685 1.90644e+08 1.33249e+09 0 5.90502e+06 3.82646e+06 287980 1.13312e+08 0.000105083 6.80568e+14 0 0 17885 647215 0.154235 5.58139 inf 0.00650926 12 1.35796e+14
69 0.647685 0 839.524 0 0 0.678209 2.08722e+08 1.43923e+09 0 6.52491e+06 3.67705e+06 295006 1.19393e+08 0.000122766 6.73575e+14 0 0 19409 699441 0.15265 5.50104 inf 0.00655257 12 1.3477e+14
70 0.678209 0 821.396 0 0 0.710172 2.28499e+08 1.55375e+09 0 7.20872e+06 3.5328e+06 302165 1.25776e+08 0.000143364 6.66329e+14 0 0 21052.6 755425 0.151008 5.41857 inf 0.00659678 12 1.33703e+14
71 0.710172 0 803.08 0 0 0.743642 2.50132e+08 1.67651e+09 0 7.96288e+06 3.39352e+06 309456 1.32474e+08 0.000167346 6.58823e+14 0 0 22823.7 815378 0.149307 5.33399 inf 0.00664192 12 1.32596e+14
72 0.743642 0 784.586 0 0 0.778689 2.73792e+08 1.80802e+09 0 8.79447e+06 3.25908e+06 316879 1.395e+08 0.000196224 6.51053e+14 0 0 24730.5 879514 0.147546 5.2473 inf 0.00668799 12 1.31446e+14
73 0.778689 0 765.937 0 0 0.815387 2.99666e+08 1.94878e+09 0 9.71125e+06 3.1293e+06 324436 1.46868e+08 0.000221411 6.43012e+14 0 0 26781.6 948072 0.145724 5.15863 inf 0.00673506 12 1.30252e+14
74 0.815387 0 747.136 0 0 0.853815 3.27958e+08 2.09934e+09 0 1.07217e+07 3.00405e+06 332126 1.54592e+08 0.000249763 6.34698e+14 0 0 28985.7 1.02125e+06 0.143839 5.06789 inf 0.0067831 12 1.29014e+14
75 0.853815 0 728.196 0 0 0.894054 3.58891e+08 2.26024e+09 0 1.18352e+07 2.88318e+06 339948 1.62687e+08 0.000281667 6.26104e+14 0 0 31351.9 1.09928e+06 0.141892 4.9751 inf 0.00683209 12 1.2773e+14
76 0.894054 0 709.132 0 0 0.936189 3.92706e+08 2.43205e+09 0 1.3062e+07 2.76656e+06 347902 1.71167e+08 0.000317556 6.17228e+14 0 0 33889.3 1.18237e+06 0.13988 4.88029 inf 0.00688206 12 1.26399e+14
77 0.936189 0 689.96 0 0 0.980311 4.29666e+08 2.61533e+09 0 1.44132e+07 2.65404e+06 355989 1.80047e+08 0.000353126 6.08067e+14 0 0 36607.4 1.27073e+06 0.137804 4.7835 inf 0.00693301 12 1.2502e+14
78 0.980311 0 670.702 0 0 1.02651 4.70059e+08 2.81069e+09 0 1.59011e+07 2.5455e+06 364206 1.89345e+08 0.000383622 5.98616e+14 0 0 39515.3 1.36459e+06 0.135662 4.68485 inf 0.006985 12 1.23593e+14
79 1.02651 0 651.374 0 0 1.07489 5.14197e+08 3.01873e+09 0 1.75393e+07 2.44081e+06 372552 1.99074e+08 0.000416732 5.88874e+14 0 0 42622.6 1.46416e+06 0.133455 4.58439 inf 0.00703803 12 1.22116e+14
80 1.07489 0 631.988 0 0 1.12555 5.62418e+08 3.24005e+09 0 1.93423e+07 2.33985e+06 381028 2.09251e+08 0.000452677 5.7884e+14 0 0 45938.4 1.5696e+06 0.131181 4.4821 inf 0.00709206 12 1.20588e+14
81 1.12555 0 612.564 0 0 1.17859 6.15094e+08 3.47526e+09 0 2.13263e+07 2.2425e+06 389631 2.19894e+08 0.000491697 5.68513e+14 0 0 49471.8 1.68108e+06 0.12884 4.37806 inf 0.0071471 12 1.19008e+14
82 1.17859 0 593.132 0 0 1.23414 6.72624e+08 3.72498e+09 0 2.3509e+07 2.14865e+06 398359 2.31018e+08 0.000538058 5.57893e+14 0 0 53231.4 1.79881e+06 0.126433 4.27247 inf 0.00720325 12 1.17376e+14
83 1.23414 0 573.701 0 0 1.2923 7.35446e+08 3.98983e+09 0 2.59094e+07 2.05818e+06 407212 2.42641e+08 0.000576721 5.46981e+14 0 0 57225.5 1.92289e+06 0.12396 4.16532 inf 0.00726044 12 1.15692e+14
84 1.2923 0 554.292 0 0 1.35321 8.04034e+08 4.2704e+09 0 2.85488e+07 1.97099e+06 416186 2.54779e+08 0.000618193 5.35778e+14 0 0 61461.4 2.05342e+06 0.121422 4.05668 inf 0.00731866 12 1.13953e+14
85 1.35321 0 534.938 0 0 1.41698 8.78901e+08 4.5673e+09 0 3.145e+07 1.88696e+06 425279 2.6745e+08 0.000662686 5.24294e+14 0 0 65946.6 2.19053e+06 0.118819 3.94677 inf 0.007378 12 1.12161e+14
86 1.41698 0 515.652 0 0 1.48376 9.60608e+08 4.88111e+09 0 3.46381e+07 1.80601e+06 434488 2.80672e+08 0.000710424 5.12529e+14 0 0 70686.4 2.33422e+06 0.116153 3.83562 inf 0.0074384 12 1.10315e+14
87 1.48376 0 496.453 0 0 1.55369 1.04976e+09 5.21238e+09 0 3.81405e+07 1.72803e+06 443811 2.94462e+08 0.00076164 5.00487e+14 0 0 75685 2.48448e+06 0.113424 3.72331 inf 0.00749982 12 1.08414e+14
88 1.55369 0 477.363 0 0 1.62691 1.14701e+09 5.56164e+09 0 4.1987e+07 1.65292e+06 453244 3.08838e+08 0.000810214 4.91418e+14 0 0 81483.3 2.64138e+06 0.111368 3.61014 inf 0.00756267 12 1.06459e+14
89 1.62691 0 458.418 0 0 1.70358 1.25308e+09 5.92941e+09 0 4.62102e+07 1.58059e+06 462783 3.23817e+08 0.00086873 4.82143e+14 0 0 87658.4 2.8047e+06 0.109266 3.49607 inf 0.00762638 12 1.04449e+14
90 1.70358 0.293836 439.63 0.0927011 0.201135 1.78387 1.36874e+09 6.31612e+09 258471 5.08454e+07 1.51096e+06 472425 3.39416e+08 0.000931537 4.72618e+14 0 0 97693.3 2.97429e+06 0.11106 3.38125 0.377967 0.00769112 12 1.02385e+14
91 1.78387 0.86427 421.023 0.368145 0.496125 1.86794 1.49481e+09 6.7222e+09 1.09207e+06 5.59312e+07 1.44394e+06 482166 3.55654e+08 0.000998943 4.62846e+14 0 0 112383 3.14992e+06 0.116518 3.26582 0.134817 0.00775686 12 1.00268e+14
92 1.86794 1.44038 402.622 0.695101 0.745281 1.95598 1.63221e+09 7.148e+09 2.61536e+06 6.15097e+07 1.37943e+06 492000 3.72546e+08 0.0010713 4.52828e+14 0 0 129019 3.33128e+06 0.121996 3.14995 0.084697 0.0078236 12 9.80975e+13
93 1.95598 2.02105 384.45 1.05569 0.965361 2.04816 1.78191e+09 7.59381e+09 4.95896e+06 6.76265e+07 1.31737e+06 501922 3.9011e+08 0.00114165 4.42571e+14 0 0 147826 3.518e+06 0.127481 3.03382 0.0630764 0.00789131 12 9.58753e+13
94 2.04816 2.60504 366.532 1.4417 1.16334 2.14469 1.94497e+09 8.05984e+09 8.27119e+06 7.43313e+07 1.25767e+06 511928 4.08363e+08 0.00124892 4.32079e+14 0 0 169049 3.70963e+06 0.132956 2.91759 0.0510379 0.00795999 12 9.36023e+13
95 2.14469 3.191 348.89 1.84773 1.34327 2.24576 2.12253e+09 8.54625e+09 1.27199e+07 8.16779e+07 1.20025e+06 522011 4.2732e+08 0.00136605 4.21358e+14 0 0 192956 3.90561e+06 0.138405 2.80145 0.0433735 0.00802959 12 9.12799e+13
96 2.24576 3.77748 331.549 2.26955 1.50793 2.3516 2.31582e+09 9.05307e+09 1.84943e+07 8.9725e+07 1.14505e+06 532166 4.46996e+08 0.00149391 4.10417e+14 0 0 219835 4.1053e+06 0.14381 2.68558 0.0380705 0.00810011 12 8.89099e+13
97 2.3516 4.3629 314.531 2.70358 1.65933 2.46243 2.52616e+09 9.58026e+09 2.58071e+07 9.85361e+07 1.09198e+06 542386 4.67407e+08 0.00163345 3.99264e+14 0 0 249999 4.30797e+06 0.149153 2.5702 0.0341866 0.00817152 12 8.6494e+13
98 2.46243 4.94558 297.859 3.14653 1.79906 2.57848 2.755e+09 1.01277e+10 3.48963e+07 1.0818e+08 1.04098e+06 552663 4.88566e+08 0.00178571 3.87909e+14 0 0 283783 4.51277e+06 0.154412 2.45548 0.0312221 0.00824377 12 8.40346e+13
99 2.57848 5.52371 281.554 3.59533 1.92839 2.7 3.00386e+09 1.0695e+10 4.60274e+07 1.18732e+08 991986 562991 5.10488e+08 0.00193925 3.76364e+14 0 0 321548 4.71876e+06 0.159565 2.34165 0.0288873 0.00831687 12 8.15343e+13
100 2.7 6.09369 265.635 4.04562 2.04807 2.82725 3.27442e+09 1.1282e+10 5.94917e+07 1.30272e+08 944924 573362 5.33183e+08 0.00216618 3.64682e+14 0 0 363633 4.92489e+06 0.164572 2.2289 0.027007 0.00839083 12 7.89958e+13
101 2.82725 5.60336 250.157 3.60872 1.99464 2.96049 3.56844e+09 1.18881e+10 7.30672e+07 1.42888e+08 899733 583768 5.56664e+08 0.00241845 3.51012e+14 0 0 375183 5.13077e+06 0.154859 2.11776 0.0276368 0.00846572 12 7.64223e+13
102 2.96049 4.35652 235.107 2.58077 1.77575 3.10001 3.88785e+09 1.25126e+10 8.46402e+07 1.56675e+08 856351 594200 5.8094e+08 0.00269868 3.39092e+14 0 0 359698 5.33507e+06 0.135404 2.00832 0.0310807 0.00854216 12 7.38174e+13
103 3.10001 3.16292 220.508 1.66013 1.50279 3.24611 4.23471e+09 1.31549e+10 9.38531e+07 1.71735e+08 814719 604649 6.06021e+08 0.00300979 3.27045e+14 0 0 339726 5.53596e+06 0.116633 1.90058 0.0368751 0.00861912 12 7.11848e+13
104 3.24611 2.02757 206.368 0.875004 1.15257 3.3991 4.61121e+09 1.3814e+10 1.00329e+08 1.88179e+08 774779 615105 6.31913e+08 0.00335492 3.14889e+14 0 0 314968 5.732e+06 0.0986188 1.79473 0.0486389 0.00869675 12 6.85287e+13
105 3.3991 0.955333 192.703 0.272796 0.682536 3.55929 5.01972e+09 1.44888e+10 1.03674e+08 2.06125e+08 736473 625560 6.58622e+08 0.00373757 3.02646e+14 0 0 285165 5.92167e+06 0.081431 1.69098 0.0852384 0.00877503 12 6.58536e+13
106 3.55929 0 179.527 0 0 3.72704 5.46277e+09 1.51782e+10 1.03674e+08 2.25702e+08 699747 636002 6.86153e+08 0.00407718 2.90337e+14 0 0 252650 6.10337e+06 0.065798 1.58951 inf 0.00885389 12 6.31642e+13
107 3.72704 0 166.85 0 0 3.90269 5.94307e+09 1.58806e+10 1.03674e+08 2.47049e+08 664549 646422 7.14507e+08 0.00449298 2.79582e+14 0 0 266763 6.27584e+06 0.0633606 1.49061 inf 0.00893383 12 6.04658e+13
