#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar
29 0.102651 10.3757 151.188 0.156271 10.2194 0.107489 3.23216e+06 5.55305e+06 352907 2314.92 339037 42344.6 126497 0.0017988 1.02572e+12 0 0 91.3946 1472.18 0.0286163 0.46095
30 0.107489 10.3754 149.391 0.155968 10.2195 0.112555 3.54168e+06 6.0762e+06 389241 2566.7 326740 43461.1 130774 0.00192528 1.02375e+12 0 0 100.207 1599.15 0.028615 0.45665
31 0.112555 10.3751 147.549 0.155651 10.2195 0.117859 3.88072e+06 6.64276e+06 429079 2845.26 314847 44603.2 135176 0.0020607 1.02169e+12 0 0 109.87 1736.41 0.0286136 0.452217
32 0.117859 10.3748 145.659 0.155321 10.2195 0.123414 4.25208e+06 7.25602e+06 472759 3153.4 303348 45771.3 151206 0.00197948 1.01954e+12 0 0 120.464 1884.66 0.0286121 0.447639
33 0.123414 10.3745 143.724 0.154975 10.2195 0.12923 4.65883e+06 7.91951e+06 520652 3494.24 292230 46965.9 159717 0.00202281 1.0173e+12 0 0 132.079 2044.73 0.0286106 0.442925
34 0.12923 10.3741 141.739 0.154613 10.2195 0.135321 5.1043e+06 8.63697e+06 573164 3871.17 281480 48187.2 168685 0.0020675 1.01495e+12 0 0 144.814 2217.37 0.028609 0.438057
35 0.135321 10.3738 139.713 0.154236 10.2195 0.141698 5.59217e+06 9.4124e+06 630741 4287.97 271088 49435.6 178131 0.00211358 1.0125e+12 0 0 158.776 2403.55 0.0286074 0.433058
36 0.141698 10.3734 137.632 0.153841 10.2195 0.148376 6.12643e+06 1.025e+07 693869 4748.78 261042 50711.5 188078 0.00212065 1.00994e+12 0 0 174.084 2603.94 0.0286056 0.427882
37 0.148376 10.373 135.502 0.153429 10.2195 0.155369 6.71147e+06 1.11541e+07 763086 5258.19 251332 52015.3 198553 0.00208202 1.00726e+12 0 0 190.867 2819.52 0.0286038 0.422541
38 0.155369 10.3725 133.268 0.152999 10.2195 0.162691 7.35207e+06 1.21292e+07 838977 5821.22 241946 53347.3 209579 0.00204486 1.00447e+12 0 0 209.268 3049.85 0.028602 0.416842
39 0.162691 10.3721 130.915 0.152549 10.2195 0.170358 8.05346e+06 1.31795e+07 922186 6443.43 232876 54707.7 221183 0.00200913 1.00155e+12 0 0 229.442 3294.95 0.0286 0.410716
40 0.170358 10.3716 128.524 0.15208 10.2195 0.178387 8.82136e+06 1.431e+07 1.01342e+06 7130.94 224110 56097 233393 0.00197479 9.985e+11 0 0 251.56 3557.67 0.028598 0.404444
41 0.178387 10.3711 126.094 0.151589 10.2195 0.186794 9.66202e+06 1.55262e+07 1.11345e+06 7890.47 215639 57515.4 246238 0.00202504 9.95319e+11 0 0 275.809 3838.97 0.0285958 0.398023
42 0.186794 10.3706 123.63 0.151078 10.2195 0.195598 1.05823e+07 1.68337e+07 1.22312e+06 8729.42 207454 58963.2 259747 0.00199075 9.91999e+11 0 0 302.396 4139.92 0.0285936 0.391458
43 0.195598 10.37 121.134 0.150543 10.2195 0.204816 1.15896e+07 1.82383e+07 1.34338e+06 9655.95 199547 60440.7 273951 0.00195786 9.88534e+11 0 0 331.543 4461.69 0.0285913 0.384763
44 0.204816 10.3694 118.606 0.149986 10.2194 0.214469 1.2692e+07 1.97464e+07 1.47522e+06 10679 191908 61948.1 288882 0.00192635 9.84918e+11 0 0 363.499 4805.23 0.0285889 0.377927
45 0.214469 10.3688 116.043 0.149404 10.2194 0.224576 1.38986e+07 2.13642e+07 1.61977e+06 11808.5 184529 63485.6 304573 0.00204378 9.81145e+11 0 0 398.534 5171.42 0.0285863 0.37094
46 0.224576 10.3681 113.451 0.148796 10.2193 0.23516 1.52189e+07 2.30984e+07 1.77827e+06 13055.2 177401 65053.4 321058 0.00209147 9.7721e+11 0 0 436.944 5561.53 0.0285837 0.363821
47 0.23516 10.3674 110.836 0.148163 10.2193 0.246243 1.66637e+07 2.49562e+07 1.95204e+06 14431.1 170518 66651.8 338374 0.00214085 9.73106e+11 0 0 479.053 5976.78 0.028581 0.356583
48 0.246243 10.3667 108.199 0.147502 10.2192 0.257848 1.82444e+07 2.69447e+07 2.14256e+06 15949.3 163870 68280.9 356555 0.00219198 9.68826e+11 0 0 525.219 6418.25 0.0285782 0.349229
49 0.257848 10.3659 105.539 0.146814 10.2191 0.27 1.99737e+07 2.90715e+07 2.35145e+06 17624.1 157451 69940.7 375642 0.00224497 9.64365e+11 0 0 575.832 6886.78 0.0285752 0.341751
50 0.27 10.3651 102.86 0.146095 10.219 0.282725 2.18654e+07 3.13442e+07 2.58047e+06 19471.3 151254 71631.5 395671 0.00240689 9.59715e+11 0 0 631.319 7383.51 0.0285721 0.334161
51 0.282725 10.3642 100.168 0.145347 10.2189 0.296049 2.39344e+07 3.37711e+07 2.83157e+06 21508.3 145271 73353.2 416684 0.00258759 9.5487e+11 0 0 692.15 7909.79 0.0285689 0.326482
52 0.296049 10.3633 97.4637 0.144567 10.2188 0.310001 2.61972e+07 3.63602e+07 3.10687e+06 23754.2 139496 75105.9 438722 0.00278192 9.49822e+11 0 0 758.839 8466.31 0.0285656 0.318704
53 0.310001 10.3624 94.7495 0.143754 10.2186 0.324611 2.86716e+07 3.912e+07 3.4087e+06 26229.7 133922 76889.6 461828 0.0029909 9.44565e+11 0 0 831.95 9054.06 0.0285621 0.31084
54 0.324611 10.3614 92.0278 0.142908 10.2184 0.33991 3.1377e+07 4.20592e+07 3.73962e+06 28957.8 128543 78704.2 486044 0.00321565 9.3909e+11 0 0 912.1 9673.77 0.0285585 0.302893
55 0.33991 10.3603 89.3051 0.142027 10.2183 0.355929 3.43347e+07 4.51866e+07 4.10243e+06 31963.6 123352 80549.8 511417 0.0033669 9.33392e+11 0 0 999.967 10326.7 0.0285548 0.294886
56 0.355929 10.3591 86.5815 0.141109 10.218 0.372704 3.75677e+07 4.85111e+07 4.5002e+06 35274.7 118344 82426.1 537992 0.00372295 9.27462e+11 0 0 1096.29 11013.1 0.0285509 0.286815
57 0.372704 10.3579 83.8601 0.140155 10.2178 0.390269 4.11012e+07 5.20418e+07 4.9363e+06 38921 113513 84332.9 565815 0.00411597 9.21293e+11 0 0 1201.89 11733.5 0.0285469 0.278689
58 0.390269 10.3567 81.1461 0.139162 10.2175 0.408662 4.49625e+07 5.57879e+07 5.4144e+06 42935.8 108853 86270.2 594935 0.00454971 9.14877e+11 0 0 1317.66 12488.7 0.0285427 0.270527
59 0.408662 10.3553 78.441 0.138129 10.2172 0.427921 4.91814e+07 5.97584e+07 5.93857e+06 47355 104359 88237.6 625401 0.00502827 9.08207e+11 0 0 1444.56 13278.7 0.0285384 0.262331
60 0.427921 10.3539 75.7475 0.137055 10.2168 0.448088 5.37903e+07 6.39625e+07 6.51323e+06 52218.3 100026 90234.7 657263 0.00523724 9.01274e+11 0 0 1583.68 14103.5 0.0285339 0.254109
61 0.448088 10.3524 73.0707 0.13594 10.2165 0.469206 5.88244e+07 6.84094e+07 7.14324e+06 57568.8 95847.4 92261.3 690570 0.00583989 8.94073e+11 0 0 1736.19 14963.4 0.0285293 0.24588
62 0.469206 10.3508 70.4129 0.134781 10.216 0.491319 6.43219e+07 7.31079e+07 7.83393e+06 63453.8 91819.6 94316.9 725375 0.00651023 8.86594e+11 0 0 1903.38 15857.8 0.0285245 0.237649
63 0.491319 10.3491 67.7763 0.133578 10.2155 0.514474 7.03244e+07 7.80667e+07 8.59113e+06 69925.1 87937.3 96401 761729 0.00725557 8.78832e+11 0 0 2086.65 16786 0.0285195 0.229424
64 0.514474 10.3473 65.1658 0.132329 10.215 0.538721 7.68771e+07 8.32946e+07 9.42123e+06 77039 84196 98513.1 799686 0.00808405 8.70777e+11 0 0 2287.55 17747.6 0.0285144 0.221224
65 0.538721 10.3455 62.5824 0.131033 10.2144 0.56411 8.4029e+07 8.87997e+07 1.03313e+07 84857.1 80591.2 100652 839296 0.00843668 8.62424e+11 0 0 2507.78 18740.8 0.0285091 0.21305
66 0.56411 10.3435 60.0309 0.12969 10.2138 0.590696 9.18332e+07 9.45897e+07 1.13289e+07 93446.7 77118.5 102819 880615 0.00939817 8.53765e+11 0 0 2749.2 19764.7 0.0285036 0.204919
67 0.590696 10.3414 57.5126 0.128298 10.2131 0.618534 1.00348e+08 1.00672e+08 1.24226e+07 102881 73773.5 105011 901421 0.0104662 8.44794e+11 0 0 3013.84 20816.8 0.0284979 0.196838
68 0.618534 10.3392 55.0313 0.126857 10.2123 0.647685 1.09634e+08 1.07053e+08 1.36215e+07 113240 70552.4 107228 889048 0.011652 8.35504e+11 0 0 3303.93 21895.3 0.0284921 0.188818
69 0.647685 10.3368 52.5887 0.125364 10.2115 0.678209 1.19762e+08 1.1374e+08 1.49358e+07 124612 67450.9 109469 876844 0.0129682 8.2589e+11 0 0 3621.92 22996.6 0.028486 0.180866
70 0.678209 10.3344 50.1878 0.123821 10.2106 0.710172 1.30803e+08 1.20737e+08 1.63766e+07 137089 64465.3 111734 864811 0.0144285 8.15946e+11 0 0 3970.49 24117.4 0.0284798 0.172991
71 0.710172 10.3318 47.8262 0.122225 10.2096 0.743642 1.42837e+08 1.28048e+08 1.79559e+07 150777 61591.9 114020 976064 0.0140237 8.05668e+11 0 0 4352.58 25248.4 0.0284735 0.165169
72 0.743642 10.3291 45.5045 0.120576 10.2085 0.778689 1.5595e+08 1.35675e+08 1.96872e+07 165788 58827 116328 966708 0.0155273 7.9505e+11 0 0 4771.41 26380.8 0.0284669 0.157391
73 0.778689 10.3262 43.234 0.118874 10.2073 0.815387 1.70235e+08 1.43621e+08 2.1585e+07 182243 56167.1 118655 957395 0.0171873 7.8409e+11 0 0 5230.51 27520.6 0.0284602 0.149745
74 0.815387 10.3231 41.0181 0.117118 10.206 0.853815 1.85792e+08 1.51886e+08 2.36652e+07 200275 53608.8 121001 948127 0.0190189 7.72784e+11 0 0 5733.74 28665.2 0.0284532 0.142249
75 0.853815 10.32 38.8596 0.115308 10.2046 0.894054 2.02729e+08 1.60473e+08 2.59455e+07 220029 51148.8 123364 938902 0.0210393 7.6113e+11 0 0 6285.35 29810.8 0.0284461 0.134917
76 0.894054 10.3166 36.76 0.113444 10.2032 0.936189 2.21164e+08 1.69379e+08 2.8445e+07 241661 48783.9 125743 929720 0.023267 7.49127e+11 0 0 6889.99 30952.2 0.0284388 0.127757
77 0.936189 10.3131 34.7205 0.111526 10.2016 0.980311 2.41221e+08 1.78602e+08 3.11846e+07 265340 46511 128136 1.05519e+06 0.0224409 7.36775e+11 0 0 7552.74 32083.5 0.0284314 0.120775
78 0.980311 10.3094 32.7423 0.109554 10.1999 1.02651 2.63038e+08 1.88139e+08 3.41875e+07 291251 44327 130540 1.05239e+06 0.0246212 7.24075e+11 0 0 8279.2 33198.4 0.0284238 0.113975
79 1.02651 10.3056 30.8264 0.107529 10.198 1.07489 2.86759e+08 1.97984e+08 3.74789e+07 319593 42229.1 132956 1.04942e+06 0.027007 7.11028e+11 0 0 9075.47 34289.7 0.028416 0.107364
80 1.07489 10.3016 28.9755 0.105451 10.1961 1.12555 3.12543e+08 2.08131e+08 4.10864e+07 350581 40214.4 135380 1.0463e+06 0.0296169 6.97638e+11 0 0 9948.27 35353.9 0.028408 0.100956
81 1.12555 10.2974 27.1902 0.103321 10.194 1.17859 3.40557e+08 2.18572e+08 4.50404e+07 384449 38280.2 137810 1.04302e+06 0.0324711 6.8391e+11 0 0 10904.9 36383.6 0.0283999 0.0947544
82 1.17859 10.293 25.4706 0.101141 10.1919 1.23414 3.70984e+08 2.29296e+08 4.9374e+07 421449 36423.8 140246 1.03958e+06 0.0355914 6.6985e+11 0 0 11953.5 37370.6 0.0283916 0.0887612
83 1.23414 10.2885 23.8171 0.0989118 10.1896 1.2923 4.04017e+08 2.40291e+08 5.41236e+07 461853 34642.6 142683 1.155e+06 0.0349818 6.55465e+11 0 0 13102.9 38306.8 0.0283832 0.0829791
84 1.2923 10.2838 22.23 0.096635 10.1871 1.35321 4.39865e+08 2.51543e+08 5.9329e+07 505956 32934.2 145121 1.1508e+06 0.0383234 6.40764e+11 0 0 14362.7 39184.3 0.0283746 0.0774114
85 1.35321 10.2789 20.7091 0.0943126 10.1846 1.41698 4.78751e+08 2.63037e+08 6.5034e+07 554073 31296 147557 1.14639e+06 0.041973 6.25757e+11 0 0 15743.6 39994 0.0283659 0.072059
86 1.41698 10.2739 19.2544 0.0919469 10.182 1.48376 5.20915e+08 2.74754e+08 7.12864e+07 606548 29725.7 149987 1.14181e+06 0.0459574 6.10457e+11 0 0 17257.1 40727.5 0.0283571 0.0669239
87 1.48376 10.2688 17.8654 0.0895404 10.1793 1.55369 5.6661e+08 2.86676e+08 7.81385e+07 663747 28221.2 152411 1.13702e+06 0.0503062 5.94878e+11 0 0 18916.1 41374.6 0.0283481 0.0620051
88 1.55369 10.2636 16.5417 0.0870957 10.1765 1.62691 6.16109e+08 2.98778e+08 8.56479e+07 726067 26780 154824 1.13205e+06 0.0550505 5.79036e+11 0 0 20734.4 41927.2 0.028339 0.0573045
89 1.62691 10.2582 15.2826 0.084616 10.1736 1.70358 6.69703e+08 3.11039e+08 9.38775e+07 793932 25400.1 157225 1.12687e+06 0.0602251 5.62946e+11 0 0 22727.4 42375.1 0.0283298 0.0528207
90 1.70358 10.2528 14.0872 0.0821044 10.1707 1.78387 7.27701e+08 3.2343e+08 1.02896e+08 867801 24079.3 159611 1.30909e+06 0.0564274 5.46628e+11 0 0 24911.9 42708.8 0.0283204 0.0485524
91 1.78387 10.2473 12.9546 0.0795646 10.1677 1.86794 7.90431e+08 3.35925e+08 1.1278e+08 948163 22815.7 161978 1.30642e+06 0.0615129 5.30103e+11 0 0 27306.2 42918.6 0.028311 0.0444979
92 1.86794 10.2418 11.8837 0.0770002 10.1648 1.95598 8.58243e+08 3.48493e+08 1.23611e+08 1.03554e+06 21607.3 164323 1.3034e+06 0.0670404 5.13391e+11 0 0 29930.5 42995.4 0.0283014 0.0406551
93 1.95598 10.2363 10.8732 0.0744152 10.1619 2.04816 9.31507e+08 3.61102e+08 1.35481e+08 1.13051e+06 20452.1 166644 1.30003e+06 0.0730466 4.96517e+11 0 0 32807 42929.1 0.0282917 0.0370207
94 2.04816 10.2308 9.92165 0.0718137 10.159 2.14469 1.01062e+09 3.73717e+08 1.48489e+08 1.23365e+06 19348.2 168938 1.29629e+06 0.0795711 4.79504e+11 0 0 35959.7 42709.9 0.0282819 0.0335909
95 2.14469 10.2254 9.02763 0.0691995 10.1562 2.24576 1.09598e+09 3.86302e+08 1.62745e+08 1.34563e+06 18294 171200 1.29218e+06 0.0866562 4.62376e+11 0 0 39415.2 42328.7 0.028272 0.0303619
96 2.24576 10.2201 8.1895 0.0665764 10.1535 2.3516 1.18805e+09 3.98821e+08 1.78368e+08 1.46712e+06 17287.6 173429 1.28771e+06 0.0943478 4.45156e+11 0 0 43202.6 41775.5 0.028262 0.0273285
97 2.3516 10.2148 7.40544 0.0639482 10.1509 2.46243 1.28728e+09 4.11234e+08 1.95489e+08 1.59886e+06 16327.2 175620 1.28286e+06 0.102695 4.27871e+11 0 0 47353.8 41039 0.0282519 0.0244845
98 2.46243 10.2098 6.67366 0.0613234 10.1485 2.57848 1.39415e+09 4.23499e+08 2.14253e+08 1.74164e+06 15411.4 177771 1.27764e+06 0.11175 4.1057e+11 0 0 51903.7 40105.8 0.0282417 0.0218223
99 2.57848 10.2056 5.99191 0.0587305 10.1469 2.7 1.50918e+09 4.35573e+08 2.34819e+08 1.89628e+06 14538.3 179877 1.42145e+06 0.108792 3.93403e+11 0 0 56890.1 38950.9 0.0282312 0.0193291
100 2.7 10.2036 5.35651 0.0561995 10.1474 2.82725 1.63292e+09 4.47409e+08 2.57365e+08 2.06368e+06 13706.5 181936 1.418e+06 0.118051 3.76487e+11 0 0 62353.4 37497.8 0.0282198 0.0169707
101 2.82725 7.81419 4.64893 0.0147762 7.79941 2.96049 1.76591e+09 4.58672e+08 2.76296e+08 2.24477e+06 12914.5 183944 1.41398e+06 0.128071 1.74603e+11 0 0 71603.7 29145.2 0.0295548 0.0120299
102 2.96049 88.375 0.00252112 0 88.375 3.10001 1.90875e+09 4.58679e+08 5.11063e+08 2.44055e+06 12160.8 185897 1.40939e+06 0.138914 0 0 0 50107.9 0 0.0188625 0
103 3.10001 79.1668 0 0 79.1668 3.24611 2.06206e+09 4.58679e+08 7.41658e+08 2.65209e+06 11443.8 187793 1.40422e+06 0.150644 0 0 0 48842.4 0 0.0167683 0
104 3.24611 70.7271 0 0 70.7271 3.3991 2.22647e+09 4.58679e+08 9.67545e+08 2.8805e+06 10762.3 189628 1.39849e+06 0.163329 0 0 0 47451.8 0 0.0148575 0
105 3.3991 63.0112 0 0 63.0112 3.55929 2.40265e+09 4.58679e+08 1.18821e+09 3.12698e+06 10114.8 191399 1.39218e+06 0.177044 0 0 0 45945.4 0 0.0131201 0
106 3.55929 55.9757 0 0 55.9757 3.72704 2.5913e+09 4.58679e+08 1.40314e+09 3.39277e+06 9500.12 193101 1.3853e+06 0.191868 0 0 0 44333.7 0 0.0115459 0
107 3.72704 49.5778 0 0 49.5778 3.90269 2.79312e+09 4.58679e+08 1.61187e+09 3.67921e+06 8916.85 194733 1.37784e+06 0.207888 0 0 0 42628 0 0.0101248 0
108 3.90269 43.776 0 0 43.776 4.08662 3.00886e+09 4.58679e+08 1.81396e+09 3.98768e+06 8363.77 196291 1.3698e+06 0.225196 0 0 0 40840.6 0 0.00884679 0
109 4.08662 38.53 0 0 38.53 4.27921 3.23928e+09 4.58679e+08 2.00899e+09 4.31966e+06 7839.67 197772 1.3612e+06 0.243889 0 0 0 38984.7 0 0.00770171 0
110 4.27921 33.8006 0 0 33.8006 4.48088 3.48517e+09 4.58679e+08 2.19659e+09 4.6767e+06 7343.36 199172 1.35203e+06 0.264074 0 0 0 37073.6 0 0.00667972 0
111 4.48088 29.5502 0 0 29.5502 4.69206 3.74733e+09 4.58679e+08 2.37643e+09 5.06041e+06 6873.7 200490 1.49654e+06 0.256399 0 0 0 35121.4 0 0.00577119 0
112 4.69206 25.7426 0 0 25.7426 4.91319 4.02658e+09 4.58679e+08 2.5482e+09 5.4725e+06 6429.56 201722 1.48508e+06 0.27749 0 0 0 33142 0 0.00496675 0
113 4.91319 22.3428 0 0 22.3428 5.14474 4.32376e+09 4.58679e+08 2.71167e+09 5.91477e+06 6009.87 202866 1.47301e+06 0.300245 0 0 0 31149.4 0 0.00425739 0
114 5.14474 19.3178 0 0 19.3178 5.38721 4.63973e+09 4.58679e+08 2.86665e+09 6.38907e+06 5613.56 203919 1.46034e+06 0.324788 0 0 0 29157.2 0 0.00363445 0
115 5.38721 16.6358 0 0 16.6358 5.6411 4.97535e+09 4.58679e+08 3.01298e+09 6.89736e+06 5239.62 204880 1.44709e+06 0.351254 0 0 0 27178.6 0 0.00308973 0
116 5.6411 14.2668 0 0 14.2668 5.90696 5.33152e+09 4.58679e+08 3.15059e+09 7.44169e+06 4887.04 205745 1.43326e+06 0.379784 0 0 0 25226.1 0 0.00261544 0
117 5.90696 12.1825 0 0 12.1825 6.18534 5.70911e+09 4.58679e+08 3.27943e+09 8.02418e+06 4554.87 206514 1.41888e+06 0.410531 0 0 0 23311.7 0 0.00220428 0
118 6.18534 10.356 0 0 10.356 6.47685 6.10901e+09 4.58679e+08 3.39951e+09 8.64706e+06 4242.16 207185 1.40395e+06 0.44366 0 0 0 21446 0 0.00184944 0
119 6.47685 8.76214 0 0 8.76214 6.78209 6.53212e+09 4.58679e+08 3.51092e+09 9.31263e+06 3948.01 207755 1.3885e+06 0.479343 0 0 0 19638.9 0 0.00154458 0
120 6.78209 7.37749 0 0 7.37749 7.10172 6.97935e+09 4.58679e+08 3.61378e+09 1.00233e+07 3671.55 208225 1.37255e+06 0.51777 0 0 0 17899 0 0.00128387 0
121 7.10172 6.18009 0 0 6.18009 7.43642 7.45156e+09 4.58679e+08 3.70825e+09 1.07815e+07 3411.91 208592 1.3561e+06 0.55914 0 0 0 16233.9 0 0.00106198 0
122 7.43642 5.14959 0 0 5.14959 7.78689 7.94966e+09 4.58679e+08 3.79456e+09 1.159e+07 3168.29 208857 1.3392e+06 0.603663 0 0 0 14649.7 0 0.000874019 0
123 7.78689 4.26719 0 0 4.26719 8.15387 8.47452e+09 4.58679e+08 3.87298e+09 1.24513e+07 2939.88 209019 1.32184e+06 0.651574 0 0 0 13151.4 0 0.000715593 0
124 8.15387 3.51556 0 0 3.51556 8.53815 9.02698e+09 4.58679e+08 3.94383e+09 1.33682e+07 2725.9 209077 1.30407e+06 0.70311 0 0 0 11742.9 0 0.000582733 0
125 8.53815 2.87885 0 0 2.87885 8.94054 9.60791e+09 4.58679e+08 4.00744e+09 1.43436e+07 2525.63 209032 1.28591e+06 0.758537 0 0 0 10426.8 0 0.000471892 0
126 8.94054 2.3426 0 0 2.3426 9.36189 1.02181e+10 4.58679e+08 4.06419e+09 1.53804e+07 2338.35 208884 1.26736e+06 0.818132 0 0 0 9204.39 0 0.000379917 0
127 9.36189 1.89367 0 0 1.89367 9.80311 1.08584e+10 4.58679e+08 4.1145e+09 1.64818e+07 2163.35 208634 1.24847e+06 0.882193 0 0 0 8076.19 0 0.000304018 0
